thal-00088	FactCheck: You asked, we answered - suicide, austerity and the Troubles when it comes to the years 2007-2014, it does certainly appear that the number of deaths by suicide was greater than the number of deaths during the troubles	mostly true	http://www.thejournal.ie/suicide-austerity-troubles-ireland-tim-pat-coogan-3124487-Dec2016/	None	None	None	None	None	FactCheck: You asked, we answered - suicide, austerity and the Troubles	Dec 18th 2016, 8:30 PM	None	['None']
thal-00017	The claim: “Abortion debate re-opens in Poland after a Down Syndrome baby born alive during an abortion dies unaided screaming for an hour”	none	http://www.thejournal.ie/theliberal-poland-abortion-factcheck-4027581-May2018/	None	None	None	None	None	FactCheck: Has the story of a baby born alive during abortion in Poland opened a debate there?	May 22nd 2018, 5:11 PM	None	['Poland', 'Down_syndrome']
thal-00128	Claim: Minimum unit alcohol pricing has been proven to reduce health harms, elsewhere in the world	mostly false	http://www.thejournal.ie/minimum-unit-pricing-alcohol-ireland-facts-2932210-Aug2016/	None	None	None	None	None	FactCheck: Is minimum unit alcohol pricing "proven" to work?	Aug 21st 2016, 10:15 PM	None	['None']
thal-00141	Claim: Niall Collins personally got ICTU’s full support for Fianna Fáil’s approach to the Banded Hours Contract bill.	mostly false	http://www.thejournal.ie/fianna-fail-niall-collins-banded-hour-contracts-ictu-sinn-fein-factcheck-2868658-Jul2016/	None	None	None	None	None	FactCheck: Did Fianna Fáil REALLY get union support for their zero hour contracts plan?	Jul 8th 2016, 9:50 PM	None	['None']
thal-00019	Q&A: Can the proposed legislation allowing abortion up to 12 weeks be changed in the future?	none	http://www.thejournal.ie/qa-changing-legislation-after-repeal-4006293-May2018/	None	None	None	None	None	Q&A: Can the proposed legislation allowing abortion up to 12 weeks be changed in the future?	May 22nd 2018, 6:05 AM	None	['None']
thal-00040	FactFind: How does Ireland's jobseeker's benefit compare to the rest of the EU?	none	http://www.thejournal.ie/unemployment-benefits-across-europe-3625519-Oct2017/	None	None	None	None	None	FactFind: How does Ireland's jobseeker's benefit compare to the rest of the EU?	Oct 4th 2017, 10:00 PM	None	['None']
thal-00085	FactCheck: You asked, we answered - how does Irish politicians' pay compare to Europe?	none	http://www.thejournal.ie/politicians-salaries-europe-ireland-3149607-Dec2016/	None	None	None	None	None	FactCheck: You asked, we answered - how does Irish politicians' pay compare to Europe?	Dec 28th 2016, 10:30 PM	None	['None']
thal-00083	The 2016 FactCheck Review of the Year	none	http://www.thejournal.ie/thejournal-ie-2016-factcheck-review-of-the-year-3129320-Dec2016/	None	None	None	None	None	The 2016 FactCheck Review of the Year	Dec 31st 2016, 8:00 AM	None	['None']
thal-00115	Claim: The last government did not cut the One-Parent Family Payment	mostly false	http://www.thejournal.ie/one-parent-family-payment-changes-ireland-facts-2997502-Sep2016/	None	None	None	None	None	FactCheck: Did the last government cut payments to lone parents?	Sep 27th 2016, 7:07 PM	None	['None']
thal-00125	Claim: Ireland is the most globalised country in the world	unproven	http://www.thejournal.ie/ireland-worlds-most-globalised-country-fact-check-2954572-Aug2016/	None	None	None	None	None	FactCheck: Is Ireland actually the world's "most globalised" country?	Aug 30th 2016, 8:03 PM	None	['None']
