vogo-00562	Statement: “In total, the City Auditor’s Office identified $7,425,271 in potential monetary recoveries and cost savings for the City, which equates to $3 in potential savings for every $1 of audit costs,” wrote Eduardo Luna, San Diego auditor, in a memorandum to City Hall’s audit committee.	determination: mostly true	https://www.voiceofsandiego.org/topics/news/fact-check-the-auditors-worth/	Analysis: “Potential” is the key word in the statement we’re evaluating. The city of San Diego’s auditor and his staff have indeed recommended hundreds of changes in the way the city does business.	None	None	None	None	Fact Check: The Auditor's Worth	June 25, 2010	None	['San_Diego']
vogo-00464	50 False Claims, Visualized	none	https://www.voiceofsandiego.org/topics/news/50-false-claims-visualized/	None	None	None	None	None	50 False Claims, Visualized	December 20, 2010	None	['None']
vogo-00204	Statement: “That thing which occurred at Dulles airport was a complete fraud made up by the lady in question. She never appeared in court. The court threw it out. And that was the end of that,” Bob Filner, a San Diego mayoral candidate, said on the Mike Slater radio show, Aug. 16.	determination: misleading	https://www.voiceofsandiego.org/mayor-2012/fact-check-filners-legal-problem/	Analysis: Congressman Bob Filner made national headlines in 2007 following a run-in at Dulles International Airport outside Washington D.C.	None	None	None	None	Fact Check: Filner’s Legal Problem	August 22, 2012	None	['San_Diego', 'Bob_Filner']
vogo-00288	Statement: “To make the most of each high school senior’s final year before college, state law should be revised to allow for students to ‘dual enroll’ in a local community college for some classes. State law currently does not allow for this,” mayoral candidate Bonnie Dumanis’ education plan, released Jan. 5, said.	determination: false	https://www.voiceofsandiego.org/mayor-2012/fact-check-whats-illegal-in-schools/	Analysis: Dumanis unveiled her mayoral campaign’s first major initiative last week and it didn’t address San Diego’s financial challenges or any city policies. Instead, she proposed a step toward mayoral control of local schools.	None	None	None	None	Fact Check: What's Illegal in Schools	January 10, 2012	None	['None']
vogo-00356	Statement: “If you look at it over 40 years, that’s over $1 billion of tax money we’re giving over to marketing,” San Diego City Councilman David Alvarez, referring to a potential long-term renewal of a 2 percent charge on hotel guests, in a July 31 voiceofsandiego.org story.	determination: true	https://www.voiceofsandiego.org/topics/news/fact-check-the-1-billion-tourist-tax/	Analysis: Visitors who stay in large San Diego hotels pay multiple city taxes. There’s the regular 10.5 percent hotel-room tax. Plus, there’s an additional 2 percent charge that goes to marketing San Diego as a tourist destination.	None	None	None	None	Fact Check: The $1 Billion Tourist Tax	August 2, 2011	None	['None']
vogo-00208	15 Chargers Fact Checks: Roundup	none	https://www.voiceofsandiego.org/topics/news/15-chargers-fact-checks-roundup/	None	None	None	None	None	15 Chargers Fact Checks: Roundup	August 14, 2012	None	['None']
vogo-00124	Statement: “Last 28 days hotel occupancy down 4.8% due to no advertising. San Diego ads would have started Feb. (11),” Kerri Kapich, one of the top executives at the San Diego Tourism Authority, wrote in a March 25 tweet.	determination: misleading	https://www.voiceofsandiego.org/topics/news/fewer-bodies-in-beds-fact-check/	Analysis: Tourism officials say a fight with Mayor Bob Filner over marketing dollars is crippling the region’s ability to draw visitors.	None	None	None	None	Fewer Bodies in Beds: Fact Check	March 29, 2013	None	['San_Diego']
vogo-00508	Statement: “We’re the only (California) county to receive this funding and it was the largest grant in the United States,” Supervisor Ron Roberts, running for reelection this fall, said during a candidates’ debate Oct. 6.	determination: true	https://www.voiceofsandiego.org/topics/news/fact-check-the-county-a-rainmaker/	Analysis: Earlier this year, San Diego County came under public scrutiny for turning down federal stimulus money aimed at creating jobs. Most urban counties in the state applied for the stimulus money and raked in millions for unemployed, low-income residents. One advocacy group estimated that the county missed out on between $11 million and $18 million.	None	None	None	None	Fact Check: The County, a Rainmaker	October 12, 2010	None	['United_States', 'California']
vogo-00267	Statement: “Last year, [the state Department of Alcoholic Beverage Control] processed 9,444 new alcohol licenses. They denied seven,” Scott Chipman, an advocate for Pacific Beach residents, said during an interview with Channel 6 that aired Feb. 11.	determination: mostly true	https://www.voiceofsandiego.org/fact/liquor-license-free-for-all-fact-check/	Analysis: State alcohol licensing regulators recently approved an expansion of the Pacific Beach Shore Club, a popular oceanfront restaurant and bar.	None	None	None	None	Liquor License Free-For-All: Fact Check	February 28, 2012	None	['None']
vogo-00625	Help Us Fact Check	none	https://www.voiceofsandiego.org/fact/help-us-fact-check/	None	None	None	None	None	Help Us Fact Check	March 9, 2010	None	['None']
vogo-00602	Statement: “San Diego is in the top three to five in the country in terms of the percent of traffic fatalities that involve pedestrians. The national average is 12 to 13 percent and ours is 20 to 25 percent,” Andy Hamilton, co-founder of WalkSanDiego, told Uptown News for an article published April 15.	determination: mostly true	https://www.voiceofsandiego.org/fact/fact-check-does-san-diego-rank-high-in-pedestrian-deaths/	Analysis: Hamilton was close on the statistics but the ranking’s outdated.	None	None	None	None	Fact Check: Does San Diego Rank High in Pedestrian Deaths?	April 21, 2010	None	['San_Diego']
