snes-05177	Supporters of Bernie Sanders shouted "English only" at civil rights activist Dolores Huerta during one Nevada caucus event, ostensibly objecting to a translation of remarks into Spanish.	false	https://www.snopes.com/fact-check/sanders-english-only-huerta/	None	Ballot Box	None	Kim LaCapria	None	Bernie Sanders Supporters Chant ‘English Only’ at Dolores Huerta in Nevada?	20 February 2016	None	['Nevada', 'Bernie_Sanders', 'Spain']
snes-03126	Microwave ovens were banned in the USSR in 1976 to protect its citizens from harmful health effects.	false	https://www.snopes.com/fact-check/did-the-soviet-union-ban-microwaves-due-to-health-concerns/	None	History	None	Alex Kasprak	None	Did the Soviet Union Ban Microwaves Due to Health Concerns?	17 January 2017	None	['Soviet_Union']
snes-03989	Luxottica controls 80 percent of eyewear brands, several major optometry chains, and the second-largest vision care insurer.	mixture	https://www.snopes.com/fact-check/does-luxottica-own-80-of-the-eyeglass-industry/	None	Business	None	Kim LaCapria	None	Does Luxottica Own 80% of the Eyeglass Industry?	20 September 2016	None	['None']
snes-05842	A 'Newlywed Game' contestant said the weirdest place she'd ever "made whoopee" was "up the butt."	true	https://www.snopes.com/fact-check/up-the-butt-bob/	None	Entertainment	None	David Mikkelson	None	‘Up the Butt, Bob’	12 October 2002	None	['None']
snes-00167	A police officer told an African-American driver that weapons were drawn on him because "you're not white."	unproven	https://www.snopes.com/fact-check/police-gun-driver-not-white/	None	Politics	None	Bethania Palma	None	Did a Milwaukee Police Officer Say He Pointed His Gun at a Black Driver Because ‘You’re Not White’?	27 August 2018	None	['None']
snes-05996	Nostradamus predicted the 9/11 attacks on the World Trade Center.	false	https://www.snopes.com/fact-check/nostradamus-911-prediction/	None	September 11th	None	Snopes Staff	None	Did Nostradamus Predict the 9/11 Attacks?	21 September 2001	None	['None']
snes-01467	Law enforcement agencies recommend that people wash the handle on shopping carts before using them to avoid potential exposure to fentanyl.	false	https://www.snopes.com/fact-check/fentanyl-overdose-residue-shopping-cart/	None	Medical	None	Alex Kasprak	None	Police Chief Warns of Fentanyl Overdose Risk from Residue on Shopping Carts?	7 November 2017	None	['None']
snes-03036	Visa Declined	mostly false	https://www.snopes.com/fact-check/president-obama-ban-muslims-2011/	None	Immigration	None	Kim LaCapria	None	Did President Obama Ban Muslims from Entering the United States in 2011?	31 January 2017	None	['None']
snes-05163	Sandra Day O'Connor said that Republicans were a "vile, petulant, hateful, passel of obstructionists."	false	https://www.snopes.com/fact-check/sandra-day-oconnor-quote/	None	Legal	None	Dan Evon	None	Sandra Day O’Connor Calls GOP ‘Vile Obstructionists’?	23 February 2016	None	['Republican_Party_(United_States)', '[0', '19', '"Sandra_Day_O\\\'Connor"']
snes-05275	Bill Murray said that you can always trust a dog but not a human.	false	https://www.snopes.com/fact-check/bill-murray-dog-quote/	None	Politics	None	Dan Evon	None	Bill Murray Didn’t Say You Can Always Trust a Dog but Not a Human	2 February 2016	None	['None']
