goop-00329	Blake Shelton, Gwen Stefani Do Have “New TV Show Plans,” 	0	https://www.gossipcop.com/blake-shelton-gwen-stefani-tv-show-plans-false/	None	None	None	Shari Weiss	None	Blake Shelton, Gwen Stefani Do NOT Have “New TV Show Plans,” Despite Claim	3:21 pm, September 4, 2018	None	['Blake_Shelton']
pomt-03868	Says "Kurt Schrader supports Obama’s sequester … but won’t cut $1.6 million to fund new video games."	pants on fire!	/oregon/statements/2013/mar/10/national-republican-congressional-committee/kurt-schrader-supports-85-billion-sequester-wont-c/	Since just before the sequester set in March 1, the National Republican Congressional Committee has been filling email in-boxes in Oregon with allegations that U.S. Rep. Kurt Schrader has shirked his fiscal duties by siding with fellow Democrat, President Barack Obama. An email from an NRCC spokeswoman had this subject line: "Kurt Schrader’s priorities: A robotic squirrel." That was followed by a press release sarcastically thanking Schrader for standing by while the government wastes money "on frivolous programs like the production of a musical about climate change and a menu of foods people could eat on Mars – yes, the planet Mars." Those were followed by a limited-distribution online banner ad that reads: "What?! Kurt Schrader supports Obama’s sequester … but won’t cut $1.6 million to fund new video games." By this point, PolitiFact Oregon can’t stop giggling. A musical about climate change? A robo-squirrel to pick up robo-nuts? A new menu of what we might eat on Mars, maybe while playing new video games? We were intrigued to find out more, even though we know that campaign blasts from the major parties tend to be over the top. For those of you not keeping up with sequester news: A long, long time ago, Obama and Congress agreed to across-the-board federal cuts if they couldn’t agree on a more measured way to reduce spending and balance the budget. Well, guess what? They couldn’t agree -- Obama and Democrats want new revenue; Republicans do not -- so the country is in sequestration mode, with $85 billion in automatic cuts between now and Sept. 30, 2013. Republicans are using the impasse to drum up public support for their cause and against Democrats. The National Republican Congressional Committee -- which is chaired by Oregon’s very own Rep. Greg Walden -- wants to take out Schrader in 2014. Other Democrats, including Rep. Peter DeFazio, D-Ore, are being similarly targeted nationally. Now that we have the background, let’s try to unwind the statement. Is it true that Schrader supports Obama’s sequester, but refuses to cut $1.6 million for video games? According to an NRCC statement, Schrader voted for the sequestration bill, and voted against legislation that would have replaced it. That’s accurate-ish. Schrader joined his party in voting against two GOP-backed bills last year that would have replaced the across-the-board cuts with deep cuts to entitlements and social programs. But let’s not forget this: The 2011 bill creating the sequester law was backed by 174 Republicans, including Walden, Majority Leader Eric Cantor and House Speaker John Boehner. To single out Schrader -- and other potentially vulnerable Democrats -- as supporting the sequester ignores an awful lot of Republicans who voted for the sequester bill, and blames Democrats for failing to vote for a replacement budget dictated by Republicans. Now on to the fun stuff. All four items highlighted by the NRCC come from the annual "Wastebook" put out by Sen. Tom Coburn, R-OK. His office identified about $18 billion worth of wasted -- in his opinion -- tax dollars in 2012. The programs are included regardless of home state or party backing. For example, the National Aeronautics and Space Administration is spending about $1 million a year -- out of a $17 billion budget -- to develop food items for a 2-1/2-year trip to Mars in the 2030s. The robo-squirrel reference comes from a $325,000 National Science Foundation grant to researchers in California who are studying how a robot squirrel might fake out a non-robot rattlesnake. A New York City-based theater also received nearly $700,000 from the NSF to create a musical about climate change and biodiversity. And, finally, NASA is spending $1.6 million to develop video games and other entertainment as a way to get more students interested in science, math and technology. The point being made by House Republicans is obvious: The White House need not furlough airport security workers when there are so many other places to cut. Yet $18 billion plucked from a "waste book" is not close to $85 billion. And, seriously, Congress doesn’t go back and comb through individual budgets and kill off low-level programs a senator deems frivolous. The broader NSF and NASA budgets were approved by both Republicans and Democrats. There is no either-this-or-that choice to make in the here-and-now, and to suggest that Democrats could cut a Mars-related project for more airport securityis misleading. Certainly Republicans are making a valid point that the two sides could make targeted, intelligent reductions, but that’s not the hang-up in the standoff. The hang-up is over money. Republicans do not want to raise taxes. In a response to PolitiFact Oregon, NRCC spokeswoman Alleigh Marré said that Schrader voted twice against sequester replacementbills. Did those bills, we asked, include a line item reduction of $1.6 million for NASA’s video games? The response: No, they did not. In case you’re wondering, Schrader’s office declined to comment on how the congressman truly feels about video game development, Mars food items and other spending choices mocked in the Wastebook. His office says he opposes the sequestration as bad policy that doesn’t address long-term cost drivers, like health care. Of course he does. We can’t think of anyone who thinks across-the-board cuts is a good way to budget. And despite the NRCC’s assertion that this is Obama’s sequester, PolitiFact has ruled that the sequester is the baby of both parties. (And no, Obama can’t blame Congress either.) The NRCC’s online ad states: "Kurt Schrader supports Obama’s sequester … but won’t cut $1.6 million to fund new video games."The statement is inaccurate in many ways. This is not Obama’s sequester, as PolitiFact has ruled. Schrader voted for the 2011 bill authorizing sequestration, along with many Republicans. He voted against two sequestration bills pushed by Republicans that would have sheltered defense at the expense of human services and entitlement programs. Neither of those bills included a line item calling for $1.6 million to be taken out of NASA’s budget for video games. Schrader was not in a position to cut -- or to not cut -- that money with his sequestration-related votes. Clearly the ads are meant to showcase extreme examples of budget fat. But in doing so, the NRCC has jumped into spacey nonsense. We find the claim not only false, but ridiculously so. We rate the statement Pants on Fire.	None	National Republican Congressional Committee	None	None	None	2013-03-10T03:00:00	2013-03-04	['None']
hoer-00166	Deadly Mobile Phone Virus	bogus warning	https://www.hoax-slayer.com/killer-mobile-phone-calls-hoax.shtml	None	None	None	Brett M. Christensen	None	Deadly Mobile Phone Virus Hoax	April 2007	None	['None']
goop-01832	Jamie Foxx Giving Katie Holmes A “Hip-Hop Makeover”?	0	https://www.gossipcop.com/jamie-foxx-katie-holmes-makeover-hip-hop/	None	None	None	Andrew Shuster	None	Jamie Foxx Giving Katie Holmes A “Hip-Hop Makeover”?	8:05 pm, January 14, 2018	None	['Jamie_Foxx']
snes-02315	The image depicts a leaked "White House catering" sheet requiring Mountain Dew, Hungry Man dinners, and framed Electoral College maps.	unproven	https://www.snopes.com/fact-check/white-house-catering-list-leak/	None	Fauxtography	None	Kim LaCapria	None	Is This a Real White House Catering Sheet for a Middle East Visit?	30 May 2017	None	['White_House']
goop-01605	Drake “Trying To Win Back” Jennifer Lopez Amid Alex Rodriguez “Cheating Scandal	0	https://www.gossipcop.com/drake-jennifer-lopez-back-together-alex-rodriguez-cheating-false/	None	None	None	Shari Weiss	None	Drake NOT “Trying To Win Back” Jennifer Lopez Amid Alex Rodriguez “Cheating Scandal”	5:00 pm, February 10, 2018	None	['Jennifer_Lopez']
vogo-00185	Filner’s $3 Billion Sewage Claim: Fact Check TV	none	https://www.voiceofsandiego.org/mayor-2012/filners-3-billion-sewage-claim-fact-check-tv/	None	None	None	None	None	Filner’s $3 Billion Sewage Claim: Fact Check TV	October 8, 2012	None	['None']
hoer-00076	Kidney Stealing	bogus warning	https://www.hoax-slayer.com/kidney-stealing-hoax.html	None	None	None	Brett M. Christensen	None	Kidney Stealing Hoax	March 1, 2013	None	['None']
tron-01843	CFL Light Bulb Warning	none	https://www.truthorfiction.com/cfl-mercury/	None	health-medical	None	None	None	CFL Light Bulb Warning	Mar 17, 2015	None	['None']
faan-00020	 “Canada spends $12 billion a year on oil from Saudi Arabia.”	factscan score: false	http://factscan.ca/kevin-oleary-saudi-oil/	Canada spends on average $2.2 billion a year on Saudi oil, according to Statistics Canada.	None	Kevin O’Leary	None	None	None	2017-04-27	uary 18, 2017	['Canada', 'Saudi_Arabia']
pomt-03724	Wisconsin education agency "urged white students to wear white wristbands ‘as a reminder about your (white) privilege.’ "	mostly false	/wisconsin/statements/2013/apr/15/george-will/wisconsin-dpi-urged-white-students-wear-white-priv/	In mid-March 2013, an allegation surfaced in conservative circles that the Wisconsin Department of Public Instruction encouraged white students to wear white wristbands to remind them about their white "privilege." The wristbands weren’t aimed at showing white supremacy, but rather as a reminder to the wearer of advantages that may come from being white. Neither the claim, nor a denial by the department, attracted much attention beyond blogs and websites. However, the matter took on a higher profile on April 3, 2013. Pulitzer Prize-winning writer George Will repeated the claim in his nationally syndicated column, saying the department "urged white students to wear white wristbands 'as a reminder about your (white) privilege.’" Is Will right? The column A regular commentator on ABC’s Sunday program "This Week," Will is based at The Washington Post. His column is carried by some 400 newspapers, including the Milwaukee Journal Sentinel. The column citing the wristbands, headlined "Schools push a curriculum of propaganda" in The Post, begins with a reference to the Wisconsin Department of Public Instruction. DPI, the state agency for elementary and secondary education, isn’t run by the administration of Republican Gov. Scott Walker but by an independently elected and nonpartisan superintendent. The day before Will’s column was published, superintendent Tony Evers defeated a GOP lawmaker to win reelection. "Wisconsin’s DPI, in collaboration with the Orwellian-named federal program VISTA (Volunteers in Service to America; the 'volunteers' are paid)," Will wrote, "urged white students to wear white wristbands 'as a reminder about your privilege, and as a personal commitment to explain why you wear the wristband.'" Will cited an article about the wristbands by EAGNews.org, a website of the Education Action Group Foundation, a Michigan-based national organization that favors school choice and opposes public unions. The Michigan group’s article included a link to a flier mentioning the wristbands that was posted on the DPI website and distributed at a training class for DPI’s VISTA workers. Besides the wristbands, the flier also made other suggestions, such as putting a note "on your mirror or computer screen as a reminder to think about privilege," Will noted. "After criticism erupted," his column continued, "the DPI removed the flyer from its website and posted a dishonest statement claiming that the wristbands were a hoax perpetrated by conservatives.’ But, again, the flyer DPI posted explicitly advocated the wristbands." So, the claim from Will is about more than the existence -- even temporarily -- of a flier. His claim is that the department actively "urged" white students to wear the wristbands. Wristbands revealed The article by the Michigan group that revealed the flier carried a headline stating that "Wisconsin education officials want students to wear ‘white privilege’ wristbands." But the only evidence cited was the DPI web page that displayed the flier. DPI took down that page four days after the EAGNews.org article, but provided a copy to PolitiFact Wisconsin. The one-page flier was produced by the Beyond Diversity Resource Center in New Jersey, which says it "teaches people to internalize the ethics and practices of true respect for cultural differences." Headlined, "Addressing Racial Privilege: A Mental Model for White Anti-Racists," the flier poses two dozen questions and suggestions aimed at making white people sensitive to advantages they may enjoy by being white. One of the suggestions is to wear a white wristband "as a reminder about your privilege and as a personal commitment to explain why you wear the wristband." The center said in late March 2013 it received "hate mail and threatening phone calls" since word of DPI’s use of the flier surfaced. DPI’s response We asked DPI spokesman John Johnson to respond to Will’s claim. He noted that Will had not contacted DPI; a Will researcher also did not reply to requests for information from PolitiFact Wisconsin. The VISTA workers cited in Will’s column -- there are 13 in Wisconsin who are paid $11,352 per year from federal funds -- work in the Milwaukee, Madison, Janesville, Beloit and Racine school districts, Johnson said. Their role is to develop "family-school-community partnerships," according to the VISTA page on DPI’s website. Johnson said that in training, the VISTA workers were given a number of handouts, including the one that mentions the white wristbands, and the handouts were posted on a DPI web page. But DPI has never made any communication with any school or district about white wristbands and DPI is not aware of any schools that have such a program, he said. DPI took down the flier mentioning the wristbands from its website to make it clear there is no DPI-backed wristband program. In its place is a statement that says in part: "First and foremost, and to be absolutely clear, no DPI official has asked, requested, or encouraged any school district, educator, or student to wear any wristband, and none of our VISTA volunteers have had any children put on any wristbands. To be clear, no Wisconsin students were given white wristbands." So, although the wristbands idea was a small part of training materials given to VISTA workers, DPI was responsible for providing the information and posting the link on its web page, even if no instruction was given for carrying out a wristband program. But Will cites no evidence, and we’re not aware of any, to show that DPI promoted such a program to students. Our rating Will said DPI "urged white students to wear white wristbands ’as a reminder about your (white) privilege.’" DPI was responsible for a flier given to 13 federally paid workers that suggests white people consider wearing the white wristbands. But there is no evidence that DPI took any steps to urge students to wear the wristbands. We rate Will’s claim Mostly False.	None	George Will	None	None	None	2013-04-15T09:00:00	2013-04-03	['None']
