goop-00047	Meghan Markle, Prince Harry Leaving Royal Family For Baby, 	0	https://www.gossipcop.com/meghan-markle-prince-harry-royal-baby-family-life-leaving-not-true/	None	None	None	Gossip Cop Staff	None	Meghan Markle, Prince Harry NOT Leaving Royal Family For Baby, Despite Claim	3:00 am, November 2, 2018	None	['None']
goop-01984	Angelina Jolie Christmas Shopping At Target Because Of “Financial Trouble	1	https://www.gossipcop.com/angelina-jolie-christmas-shopping-target/	None	None	None	Shari Weiss	None	Angelina Jolie NOT Christmas Shopping At Target Because Of “Financial Trouble”	2:00 pm, December 22, 2017	None	['None']
goop-01845	Kourtney Kardashian Still Pregnant With Fourth Baby, One Year After False Repor	0	https://www.gossipcop.com/kourtney-kardashian-pregnant-fourth-baby-scott-disick-child/	None	None	None	Andrew Shuster	None	Kourtney Kardashian Still NOT Pregnant With Fourth Baby, One Year After False Report	2:49 pm, January 12, 2018	None	['None']
goop-01356	Prince Harry, Meghan Markle Ordered To “Tone Down” PDA By Queen Elizabeth?	0	https://www.gossipcop.com/prince-harry-meghan-markle-pda-queen-elizabeth-reaction/	None	None	None	Shari Weiss	None	Prince Harry, Meghan Markle Ordered To “Tone Down” PDA By Queen Elizabeth?	1:47 am, March 20, 2018	None	['Prince_Harry']
goop-00496	Jennifer Aniston, Justin Theroux Having Sleepovers, 	0	https://www.gossipcop.com/jennifer-aniston-justin-theroux-sleepovers-back-together-false/	None	None	None	Shari Weiss	None	Jennifer Aniston, Justin Theroux NOT Having Sleepovers, Despite Claim	8:16 pm, August 8, 2018	None	['Jennifer_Aniston']
goop-02921	Paris Jackson Joining ‘Keeping Up With The Kardashians,’ 	0	https://www.gossipcop.com/paris-jackson-keeping-up-with-the-kardashians-kris-jenner-adopting/	None	None	None	Michael Lewittes	None	Paris Jackson NOT Joining ‘Keeping Up With The Kardashians,’ Despite Report	7:03 pm, March 20, 2017	None	['Keeping_Up_with_the_Kardashians']
goop-00448	Meghan Markle, Prince Harry Adopting African Baby, 	0	https://www.gossipcop.com/meghan-markle-prince-harry-adopting-african-baby-not-true/	None	None	None	Shari Weiss	None	Meghan Markle, Prince Harry NOT Adopting African Baby, Despite Report	3:00 am, August 16, 2018	None	['None']
goop-02325	Prince William, Queen Elizabeth Fighting Over Kate Middleton’s Royal Duties?	0	https://www.gossipcop.com/prince-william-queen-elizabeth-fighting-over-kate-middleton-royal-duties/	None	None	None	Holly Nicol	None	Prince William, Queen Elizabeth Fighting Over Kate Middleton’s Royal Duties?	4:13 am, October 20, 2017	None	['Catherine,_Duchess_of_Cambridge', 'Prince_William,_Duke_of_Cambridge']
goop-00423	Angelina Jolie Hired ‘Reputation Guru’ Michael Sitrick To Repair Image?	0	https://www.gossipcop.com/angelina-jolie-michael-sitrick-pr-crisis-manager/	None	None	None	Andrew Shuster	None	Angelina Jolie Hired ‘Reputation Guru’ Michael Sitrick To Repair Image?	6:54 pm, August 19, 2018	None	['None']
goop-01743	Darren Aronofsky, Suki Waterhouse A Couple, 	0	https://www.gossipcop.com/darren-aronofsky-suki-waterhouse-couple-cozy-sundance-dating/	None	None	None	Michael Lewittes	None	Darren Aronofsky, Suki Waterhouse NOT A Couple, Despite Reports	2:24 pm, January 24, 2018	None	['None']
goop-02164	Mel Gibson “Creeping On” Alessandra Ambrosio At ‘Daddy’s Home 2’ Premiere?	0	https://www.gossipcop.com/mel-gibson-alessandra-ambrosio-daddys-home-2-premiere/	None	None	None	Andrew Shuster	None	Mel Gibson “Creeping On” Alessandra Ambrosio At ‘Daddy’s Home 2’ Premiere?	11:40 am, November 22, 2017	None	['Alessandra_Ambrosio', 'Mel_Gibson']
