snes-02549	Rep. Jason Chaffetz will soon resign from the House due to pending, lurid scandals.	unproven	https://www.snopes.com/fact-check/will-jason-chaffetz-resign/	None	Uncategorized	None	Bethania Palma	None	Chaffetz to Resign Due to Sex and Russian Money Laundering Scandals?	24 April 2017	None	['None']
snes-00799	Arnold Schwarzenegger slept in a sleeping bag outside a hotel he had once opened, because staff refused to give him a free room.	miscaptioned	https://www.snopes.com/fact-check/schwarzenegger-hotel-statue/	None	Fauxtography	None	Dan MacGuill	None	Was Arnold Schwarzenegger Forced to Sleep Outside a Hotel He Had Helped Open?	6 April 2018	None	['None']
snes-04165	Mylan CEO Heather Bresch as attacked by a bee swarm whilst strolling in a park and no one nearby had an EpiPen on hand to assist her because they're too expensive.	false	https://www.snopes.com/fact-check/heather-bresch-attacked-by-bee-swarm-after-raising-epipen-price/	None	Humor	None	Bethania Palma	None	Heather Bresch Attacked by Bee Swarm After Raising EpiPen Price?	26 August 2016	None	['None']
snes-03186	Scientists have determined a date in January is statistically the most depressing day of the year.	false	https://www.snopes.com/fact-check/false-blue-monday/	None	Medical	None	Snopes Staff	None	Is ‘Blue Monday’ the Most Depressing Day of the Year?	14 January 2015	None	['None']
snes-04131	John Kerry suggested that the media cover acts of terrorism less often, and perhaps people might not "know what's going on."	true	https://www.snopes.com/fact-check/john-kerry-suggests-media-cover-terrorism-less/	None	Politics	None	Kim LaCapria	None	John Kerry Suggests Media Cover Terrorism Less	31 August 2016	None	['None']
snes-06276	Pumpernickel bread is so named because a Frenchman derisively declared it was fit only for his horse, Nicol. ("C'est du pain pour Nicol.")	false	https://www.snopes.com/fact-check/pumpernickel/	None	Food	None	David Mikkelson	None	Etymology of Pumpernickel	20 May 2001	None	['France']
snes-02337	A commercial produced by Volkswagen employs suicide bomber imagery.	false	https://www.snopes.com/fact-check/polo-blow-2/	None	Fauxtography	None	David Mikkelson	None	Volkswagen Polo ‘Terrorist’ Commercial	23 January 2005	None	['Volkswagen']
snes-03816	A photograph shows a massive audience attending a Donald Trump rally in Panama City, Florida.	miscaptioned	https://www.snopes.com/fact-check/huge-crowd-at-trump-rally-in-panama-city-florida/	None	Fauxtography	None	Bethania Palma	None	Huge Crowd at Trump Rally in Panama City, Florida	12 October 2016	None	['Panama_City', 'Donald_Trump']
snes-02590	Donald Trump wrote in "The Art of the Deal" that if you tell people a lie three times, they will believe it.	false	https://www.snopes.com/fact-check/donald-trump-lie-truth/	None	Junk News	None	Dan Evon	None	Three Times a Liar?	22 May 2016	None	['None']
snes-03775	Famous drag queen RuPaul claimed he was groped by Donald Trump at a party in 1995.	false	https://www.snopes.com/fact-check/rupaul-claims-trump-touched-him/	None	Junk News	None	David Mikkelson	None	Did RuPaul Claim Trump Touched Him Inappropriately in the 1990s?	17 October 2016	None	['None']
snes-05896	General Pershing on How to Stop Islamic Terrorists	false	https://www.snopes.com/fact-check/general-pershing-stop-islamic-terrorists/	None	Military	None	David Mikkelson	None	General Pershing on How to Stop Islamic Terrorists	31 October 2001	None	['None']
snes-01539	Five-year-old Anibe Alexandra Odoma was taken from her family's home in Houston.	false	https://www.snopes.com/fact-check/was-anibe-alexandra-odoma-kidnapped-in-houston/	None	Uncategorized	None	Arturo Garcia	None	Was Anibe Alexandra Odoma Kidnapped In Houston?	23 October 2017	None	['Houston']
snes-00935	David Hogg posted a homophobic slur on Twitter in June 2016.	false	https://www.snopes.com/fact-check/fake-tweet-parkland-survivor-david-hogg/	None	Junk News	None	Dan Evon	None	Did a Parkland Survivor Tweet a Homophobic Slur?	2 March 2018	None	['None']
snes-02815	House speaker Paul Ryan asserted that women who use birth control are committing murder.	false	https://www.snopes.com/fact-check/paul-ryan-birth-control-murder/	None	Junk News	None	Dan Evon	None	Did Paul Ryan Say Women Who Use Birth Control Are Committing Murder?	8 March 2017	None	['None']
snes-05420	Comedian Bill Cosby committed suicide after he was charged and convicted of sexual assault.	false	https://www.snopes.com/fact-check/bill-cosby-suicide-hoax/	None	Junk News	None	Dan Evon	None	Bill Cosby Suicide Hoax	4 January 2016	None	['None']
snes-03527	A Rutgers University professor was forced into a psychological evaluation due to political tweets.	mixture	https://www.snopes.com/fact-check/new-york-police-takes-rutgers-professor-for-psychological-evaluation-over-political-tweet/	None	Guns	None	Bethania Palma	None	New York Police Take Rutgers Professor for Psychological Evaluation Over Political Tweet?	17 November 2016	None	['None']
snes-01546	The Tampa Bay Lightning fired J.T. Brown for raising his fist in protest during the national anthem.	false	https://www.snopes.com/fact-check/was-a-black-nhl-player-fired-for-raising-his-fist-during-the-national-anthem/	None	Sports	None	Arturo Garcia	None	Was a Black Hockey Player Fired For Raising His Fist During the National Anthem?	20 October 2017	None	['None']
snes-01859	Russia used "GPS spoofing" to cause the USS John McCain to collide with a merchant vessel.	unproven	https://www.snopes.com/fact-check/russia-hack-gps-uss-john-mccain/	None	Military	None	Alex Kasprak	None	Did Russia Hack the GPS System of the USS John McCain to Cause a Collision?	22 August 2017	None	['Russia']
snes-03578	Donald Trump said that he planns to eradicate Section 8 housing, welfare, and Medicaid.	false	https://www.snopes.com/fact-check/donald-trump-said-kiss-your-section-8-welfare-and-medicaid-goodbye/	None	Junk News	None	Kim LaCapria	None	Donald Trump Said: ‘Kiss your Section 8, Welfare and Medicaid Goodbye’?	10 November 2016	None	['None']
snes-01433	Did California Legislators Vote to Exempt Themselves from State's Gun Laws?	false	https://www.snopes.com/fact-check/california-senate-exempt-gun-laws/	None	Politics	None	David Emery	None	Did California Legislators Vote to Exempt Themselves from State’s Gun Laws?	15 November 2017	None	['None']
snes-04538	The FBI and DHS responded after Muslim men approached a mother at Kiroli Park in West Monroe, Louisiana, and offered to take her daughters to Yemen.	unproven	https://www.snopes.com/fact-check/kiroli-park-warning/	None	Crime	None	Kim LaCapria	None	Kiroli Park Warning	28 June 2016	None	['Louisiana', 'Yemen', 'Monroe,_Louisiana', 'Federal_Bureau_of_Investigation', 'Islam']
snes-00428	A May 2018 study found that 99.9 percent of politicians throughout the United States are "actual psychopaths."	false	https://www.snopes.com/fact-check/are-politicians-actual-psychopaths/	None	Politics	None	Dan MacGuill	None	Did a Study Find That Almost All Politicians Are ‘Actual Psychopaths’?	21 June 2018	None	['United_States']
snes-04451	Jesus and His disciples are going to be portrayed as homosexual in a soon-to-be-released film.	false	https://www.snopes.com/fact-check/gay-jesus-film/	None	Politics	None	David Mikkelson	None	Will Jesus Be Portrayed as Homosexual in an Upcoming Film?	21 April 2000	None	['Jesus']
snes-01084	Julia Roberts warned Celine Dion that President Donald Trump would "make Obama's destroyed America great again" and to leave the U.S. if she didn't like him.	false	https://www.snopes.com/fact-check/did-julia-roberts-scold-celine-dion-over-trump/	None	Politics	None	Arturo Garcia	None	Did Julia Roberts Tell Celine Dion ‘Go Back in Your Country’ If She Didn’t like Trump?	1 February 2018	None	['United_States', 'Barack_Obama', 'Julia_Roberts', 'Donald_Trump']
snes-03927	Lester Holt broke the rules during the first presidential debate of 2016 by wearing an earpiece.	mostly false	https://www.snopes.com/fact-check/lester-holt-wore-earpiece/	None	Politicians	None	Dan Evon	None	Lester Holt Wore an Earpiece During the Debate. So What?	28 September 2016	None	['None']
