tron-01064	California Gun Law Takes Effect January 2016, Guns to be Confiscated Without Notice	truth! & fiction!	https://www.truthorfiction.com/california-gun-law-takes-effect-in-january-2016-guns-could-be-confiscated-without-notice/	None	crime-police	None	None	None	California Gun Law Takes Effect January 2016, Guns to be Confiscated Without Notice	Dec 30, 2015	None	['None']
tron-00999	The FCC proposes charging extra for Internet access	fiction!	https://www.truthorfiction.com/fccinternettax/	None	computers	None	None	None	The FCC proposes charging extra for Internet access	Mar 16, 2015	None	['None']
tron-01849	Lowes Offers $200 Coupon	fiction!	https://www.truthorfiction.com/lowes-offers-200-dollar-coupon/	None	household	None	None	None	Lowes Offers $200 Coupon	Mar 31, 2015	None	['None']
tron-00122	Nazi Submarine Found in Great Lakes	fiction!	https://www.truthorfiction.com/nazi-submarine-found-in-great-lakes/	None	9-11-attack	None	None	None	Nazi Submarine Found in Great Lakes	Feb 22, 2016	None	['None']
tron-03633	Blue Mountain greeting card virus	fiction!	https://www.truthorfiction.com/bluemountain/	None	warnings	None	None	None	Blue Mountain greeting card virus	Mar 17, 2015	None	['None']
tron-00202	An Article on “What is an American”	truth!	https://www.truthorfiction.com/whatisanamerican/	None	9-11-attack	None	None	None	An Article on “What is an American”	 Mar 17, 2015	None	['United_States']
tron-03079	Laura Ingraham Interview with Joe DiGenova on Hillary Clinton	commentary!	https://www.truthorfiction.com/laura-ingraham-interview-joe-digenova-hillary-clinton/	None	politics	None	None	None	Laura Ingraham Interview with Joe DiGenova on Hillary Clinton	Mar 23, 2016	None	['None']
tron-00634	Rumors Surround the Death of Prince	unproven!	https://www.truthorfiction.com/rumors-surround-death-prince/	None	celebrities	None	None	None	Rumors Surround the Death of Prince	Apr 22, 2016	None	['None']
tron-01127	Eric Holder Funded Ferguson Riots	fiction!	https://www.truthorfiction.com/holder-funded-riots/	None	crime-police	None	None	None	Eric Holder Funded Ferguson Riots	Mar 17, 2015	None	['None']
tron-01941	Photo of President Obama and First Lady Michelle Obama saluting with their left hands	fiction!	https://www.truthorfiction.com/lefthandedobama/	None	humorous	None	None	None	Photo of President Obama and First Lady Michelle Obama saluting with their left hands	Mar 17, 2015	None	['Barack_Obama']
tron-00506	Throwing rice at weddings harms birds	fiction!	https://www.truthorfiction.com/riceatweddings/	None	animals	None	None	None	Throwing rice at weddings harms birds	Mar 17, 2015	None	['None']
tron-02677	Forward an email to help Debbie Schwartz	fiction!	https://www.truthorfiction.com/debbieschwartz/	None	missing	None	None	None	Forward an email to help Debbie Schwartz	Mar 17, 2015	None	['None']
tron-02230	EV-D68 Outbreak is Spreading Due to Illegal Immigrant Children	truth! & fiction!	https://www.truthorfiction.com/evd68-outbreak/	None	medical	None	None	None	EV-D68 Outbreak is Spreading Due to Illegal Immigrant Children	 Mar 17, 2015	None	['None']
tron-02956	Donald Trump’s “Genius IQ” Makes Him Smartest President	unproven!	https://www.truthorfiction.com/donald-trumps-iq-smartest-president/	None	politics	None	None	['donald trump', 'presidencies']	Donald Trump’s “Genius IQ” Makes Him Smartest President	Jan 9, 2017	None	['None']
tron-01101	FEMA Corps Team Members Are the Modern Day Hitler Youth	fiction!	https://www.truthorfiction.com/fema-corps-hitler-youth/	None	crime-police	None	None	None	FEMA Corps Team Members Are the Modern Day Hitler Youth	Mar 23, 2015	None	['None']
tron-00388	Obama Replaces Bald Eagle with Buffalo As Symbol of America	fiction!	https://www.truthorfiction.com/obama-replaces-bald-eagle-buffalo-symbol-america/	None	animals	None	None	None	Obama Replaces Bald Eagle with Buffalo As Symbol of America	May 5, 2016	None	['None']
tron-00723	William Hung of American Idol Fame Committed Suicide	fiction!	https://www.truthorfiction.com/william-hung/	None	celebrities	None	None	None	William Hung of American Idol Fame Committed Suicide	Mar 17, 2015	None	['None']
tron-01550	Supreme Court Grants Black Man 40 Acres of Land, Mule	fiction!	https://www.truthorfiction.com/supreme-court-grants-black-man-40-acres-of-land-mule/	None	government	None	None	None	Supreme Court Grants Black Man 40 Acres of Land, Mule	Dec 21, 2015	None	['None']
tron-03071	“Understanding Donald Trump” by Newt Gingrich	authorship confirmed!	https://www.truthorfiction.com/understanding-donald-trump-newt-gingrich/	None	politics	None	None	None	“Understanding Donald Trump” by Newt Gingrich	Apr 15, 2016	None	['None']
tron-00003	Child Trafficking Camp in Tucson Tied to Clinton Foundation	fiction!	https://www.truthorfiction.com/child-trafficking-camp-in-tucson-tied-to-clinton-foundation-fiction/	None	9-11-attack	None	None	['clinton foundation', 'conspiracy', 'hillary clinton', 'the clintons']	Child Trafficking Camp in Tucson Tied to Clinton Foundation	Jun 13, 2018	None	['Tucson,_Arizona']
tron-03328	Pastor Joel Osteen Dives from Stage to Stop Man from Opening Bible	fiction!	https://www.truthorfiction.com/pastor-joel-osteen-dives-stage-bible/	None	religious	None	None	['bible', 'religion', 'satire']	Pastor Joel Osteen Dives from Stage to Stop Man from Opening Bible	May 4, 2017	None	['None']
tron-02007	Donald Trump’s Mother Mary Anne Macleod An Illegal Immigrant	mostly fiction!	https://www.truthorfiction.com/donald-trumps-mother-mary-anne-macleod-illegal-immigrant-mostly-fiction/	None	immigration	None	None	['donald trump', 'refugees']	Donald Trump’s Mother Mary Anne Macleod An Illegal Immigrant	Jan 31, 2017	None	['None']
tron-00553	Chick-fil-A Response to Orlando Shootings	truth!	https://www.truthorfiction.com/chick-fil-a-response-to-orlando-shootings/	None	business	None	None	None	Chick-fil-A Response to Orlando Shootings	Jun 15, 2016	None	['None']
tron-01032	Predators Using Shirts on Windshields as Bait	unproven!	https://www.truthorfiction.com/carjackers-using-shirts-windshields-bait/	None	crime-police	None	None	['facebook', 'scams', 'warnings']	Carjackers Using Shirts on Windshields as Bait	Feb 23, 2017	None	['None']
tron-00877	AOL Instant Messaging will disappear if you don’t forward emails about it	fiction!	https://www.truthorfiction.com/aolmessaging/	None	computers	None	None	None	AOL Instant Messaging will disappear if you don’t forward emails about it	Mar 17, 2015	None	['None']
tron-00101	Ray Starmann’s Open Letter to Khizr Khan	commentary!	https://www.truthorfiction.com/ray-starmanns-open-letter-khizr-khan/	None	9-11-attack	None	None	None	Ray Starmann’s Open Letter to Khizr Khan	Aug 3, 2016	None	['None']
tron-02199	Facebook Users Warn About Tamiflu Side Effects in Children, Including Homicidal Tendencies	unproven!	https://www.truthorfiction.com/facebook-users-warn-tamiflu-side-effects-children-including-homicidal-tendencies-unproven/	None	medical	None	None	['consumer safety', 'facebook', 'medical', 'warnings']	Facebook Users Warn About Tamiflu Side Effects in Children, Including Homicidal Tendencies	Jan 31, 2018	None	['None']
tron-02839	Air Force Veteran Wrote Predictions For The Obama Presidency	truth!	https://www.truthorfiction.com/kit-lange/	None	obama	None	None	None	Air Force Veteran Wrote Predictions For The Obama Presidency	Mar 17, 2015	None	['None']
tron-01045	Philandro Castile Was an Armed Robbery Suspect	mostly fiction!	https://www.truthorfiction.com/philandro-castile-armed-robbery-suspect/	None	crime-police	None	None	None	Philandro Castile Was an Armed Robbery Suspect	Jul 11, 2016	None	['None']
tron-02619	Weather Channel Co-Founder John Coleman Calls Global Warming a Hoax	truth!	https://www.truthorfiction.com/john-coleman/	None	miscellaneous	None	None	None	Weather Channel Co-Founder John Coleman Calls Global Warming a Hoax	Mar 17, 2015	None	['None']
tron-02051	Support the Wounded Veterans at Walter Reed	fiction!	https://www.truthorfiction.com/support-the-troops/	None	inspirational	None	None	None	Support the Wounded Veterans at Walter Reed	Mar 17, 2015	None	['None']
tron-01136	Al Gore Was Arrested for Indecent Exposure	fiction!	https://www.truthorfiction.com/al-gore-was-arrested-for-indecent-exposure/	None	crime-police	None	None	None	Al Gore Was Arrested for Indecent Exposure	Mar 17, 2015	None	['None']
tron-00932	The difference between HTTP and HTTPS	truth!	https://www.truthorfiction.com/secure-web-sites/	None	computers	None	None	None	The difference between HTTP and HTTPS	Mar 17, 2015	None	['None']
tron-02382	Presidential Visit to Golf Course Rudely Delayed Other Players	unproven!	https://www.truthorfiction.com/obama-tees-off-golfers/	None	military	None	None	None	Presidential Visit to Golf Course Rudely Delayed Other Players	Mar 17, 2015	None	['None']
tron-00797	Jane Fonda Appearance Cancelled in Florida Because of Only 40 Tickets Sold	fiction!	https://www.truthorfiction.com/fonda-cancellation/	None	celebrities	None	None	None	Jane Fonda Appearance Cancelled in Florida Because of Only 40 Tickets Sold	Mar 17, 2015	None	['None']
tron-02006	5-year-old Child Handcuffed at Dulles Airport Over Immigration Ban	fiction!	https://www.truthorfiction.com/5-year-old-child-handcuffed-dulles-airport/	None	immigration	None	None	['donald trump', 'refugees']	5-year-old Child Handcuffed at Dulles Airport Over Immigration Ban	Feb 2, 2017	None	['None']
tron-01081	Department of Justice Plea Bargain for Dontray Mills	truth!	https://www.truthorfiction.com/department-of-justice-plea-bargain-for-dontray-mills/	None	crime-police	None	None	None	Department of Justice Plea Bargain for Dontray Mills	Sep 10, 2015	None	['None']
tron-03112	“The Truth About Carly” By Former HP Board Member Tom Perkins	authorship confirmed!	https://www.truthorfiction.com/the-truth-about-carly-by-former-hp-board-member-tom-perkins/	None	politics	None	None	None	“The Truth About Carly” By Former HP Board Member Tom Perkins	Sep 29, 2015	None	['None']
tron-00483	Four Deer Rescued from Alaskan Waters by Boater	truth!	https://www.truthorfiction.com/alaskan-deer-rescue/	None	animals	None	None	None	Four Deer Rescued from Alaskan Waters by Boater	Mar 17, 2015	None	['None']
tron-03508	Jerry Jones Cut Damontre Moore for Raising Fist After National Anthem	fiction!	https://www.truthorfiction.com/jerry-jones-cuts-damontre-moore-national-anthem-protest/	None	sports	None	None	['National Anthem', 'nfl', 'protests']	Jerry Jones Cut Damontre Moore for Raising Fist After National Anthem	Oct 30, 2017	None	['None']
tron-00666	Ex-CIA Operative Normand Hodges Admits to Marilyn Monroe’s Assassination	fiction!	https://www.truthorfiction.com/ex-cia-operative-normand-hodges-admits-to-marilyn-monroes-assassination/	None	celebrities	None	None	['Trending Rumors']	Ex-CIA Operative Normand Hodges Admits to Marilyn Monroe’s Assassination	Apr 23, 2015	None	['None']
tron-03432	Family Tomb in Jerusalem is That of Jesus and His Family	disputed!	https://www.truthorfiction.com/jesus-family-tomb/	None	religious	None	None	None	Family Tomb in Jerusalem is That of Jesus and His Family	Mar 17, 2015	None	['Jerusalem', 'Jesus']
tron-02853	The effort by “Citizens Against Breast Feeding” to ban nursing in the U.S.	fiction!	https://www.truthorfiction.com/banbreastfeeding/	None	pleas	None	None	None	The effort by “Citizens Against Breast Feeding” to ban nursing in the U.S.	Mar 17, 2015	None	['United_States']
