pose-00727	Will "support an increase in the cigarette tax" if it is proposed and passes through the legislature.	promise kept	https://www.politifact.com/oregon/promises/kitz-o-meter/promise/757/would-support-increase-in-cigarette-tax-if-one-wer/	None	kitz-o-meter	John Kitzhaber	None	None	Would support increase in cigarette tax if one were to pass legislature	2011-01-04T21:58:42	None	['None']
pose-01310	“And if people don't like it, we've got to have a country folks. Got to have a country. Countries in which immigration will be suspended would include places like Syria and Libya. And we are going to stop the tens of thousands of people coming in from Syria.”	promise kept	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1402/suspend-immigration-terror-prone-places/	None	trumpometer	Donald Trump	None	None	Suspend immigration from terror-prone places	2017-01-17T09:12:17	None	['Syria', 'Libya']
pose-00547	Will create A-to-F grading scale for school quality. "Schools should be graded just like students on a scale of A to F. Grades awarded under this rating system will be based on objective criteria such as graduation rates, passing rates, enrollment in Advanced Placement courses, standardized test scores, and teacher and administrator evaluations. Schools that fail for three consecutive years must select an alternate model."	compromise	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/570/create-a-to-f-grading-scale-for-school-quality/	None	walk-o-meter	Scott Walker	None	None	Create A-to-F grading scale for school quality	2010-12-20T23:16:36	None	['None']
pose-00381	"Will improve science and math education in K through 12, to prepare more students for these studies in college. They will work to increase our number of science and engineering graduates and encourage undergraduates studying math and science to pursue graduate studies. They will also work to increase the representation of minorities and women in the science and technology pipeline, tapping the diversity of America to meet the increasing demand for a skilled workforce. The challenges of the 21st century can only be met by combining many skills from people with many backgrounds."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/400/attract-more-students-to-science-and-math/	None	obameter	Barack Obama	None	None	Attract more students to science and math	2010-01-07T13:26:57	None	['United_States']
pose-01128	"Gov. Scott will direct the Commissioner of Education to conduct a thorough and comprehensive investigation of every standardized test that school districts are requiring their students to take."	promise kept	https://www.politifact.com/florida/promises/scott-o-meter/promise/1214/investigate-every-standardized-test/	None	scott-o-meter	Rick Scott	None	None	Investigate every standardized test	2014-12-30T10:50:09	None	['None']
pose-00849	"FitzGerald is committed to working to improve public transportation access in our cities."	not yet rated	https://www.politifact.com/ohio/promises/fitz-o-meter/promise/881/improve-public-transportation-access/	None	fitz-o-meter	Ed FitzGerald	None	None	Improve public transportation access	2011-01-20T13:56:11	None	['None']
pose-01098	As governor, Gina will: Enact common-sense gun control measures such as a ban on military-style weapons and high-capacity magazines.	stalled	https://www.politifact.com/rhode-island/promises/gina-meter/promise/1181/enact-ban-military-style-weapons-and-high-capacity/	None	gina-meter	Gina Raimondo	None	None	Enact a ban on military-style weapons and high-capacity magazines	2014-12-19T07:50:56	None	['None']
pose-01329	“I’m under a routine audit and it'll be released, and as soon as the audit is finished it will be released."	promise broken	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1421/release-his-tax-returns-after-audit-completed/	None	trumpometer	Donald Trump	None	None	Release his tax returns after an audit is completed	2017-01-17T08:35:28	None	['None']
pose-00716	Will "work with our Congressional delegation to attract more funds federally for investing in different transit options that best fit a community and working with business creatively to provide workers more flexibility to reduce their driving, work from home or adopt flex time to address congestion problems and enhance our quality of life.	stalled	https://www.politifact.com/oregon/promises/kitz-o-meter/promise/746/attract-more-federal-transit-funds/	None	kitz-o-meter	John Kitzhaber	None	None	Attract more federal transit funds	2011-01-04T21:58:42	None	['United_States_Congress']
pose-00043	"Increase the amount of unpaid wages and benefits workers can claim in bankruptcy court against their employer."	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/46/allow-workers-to-claim-more-in-unpaid-wages-and-be/	None	obameter	Barack Obama	None	None	Allow workers to claim more in unpaid wages and benefits in bankruptcy court	2010-01-07T13:26:46	None	['None']
