thal-00054	Claim: Rates of illegal drug use in Ireland have risen the most among younger people over the past decade.	mostly true	http://www.thejournal.ie/illegal-drug-rising-young-people-ireland-factcheck-3514169-Jul2017/	None	None	None	None	None	FactCheck: Has the rate of illegal drug use increased most among young Irish people?	Jul 25th 2017, 8:30 PM	None	['None']
pomt-05820	Says Texas legislators in 2011 increased state spending on education.	pants on fire!	/texas/statements/2012/feb/20/myra-crownover/myra-crownover-says-2011-legislature-increased-sta/	In a letter to constituents, state Rep. Myra Crownover strikes a familiar Republican chord by suggesting the 2011 Legislature dealt with tough times without shorting Texas public schools. Crownover’s message, which a reader pointed out to us on her campaign website in January 2012, says: "Most importantly, we balanced the state's budget with the first overall decrease in state spending in 50 years. We also were able to increase state spending on Education by $1.6 Billion even in the face of the worst recession in decades." We wondered if Crownover, R-Denton, was right about state education aid going up while the Republican-majority Legislature balanced the 2012-13 budget without a tax increase. That’s proved a common refrain from some Republicans including Lt. Gov. David Dewhurst, who presides over the Senate. Crownover’s chief of staff, Kevin Cruser, provided a statement from Crownover pointing out that lawmakers last year wrote the budget after learning the state would reap $27 billion less in tax revenue over the two years than it would need to maintain "current services" spending, which takes into account the impact of growing demands in major funding areas including education, health and human services and employee benefits, according to the December 2011 "Fiscal Size-up" report by the nonpartisan Legislative Budget Board. Crownover’s statement further says schools were asked to tighten their belts and that federal funding available for the education part of the budget decreased significantly. "The Legislature did the best it could to lessen the impact of the recession and the decreased federal funding for public schools," her statement says, which the note says lawmakers could not cover. "In House Bill 1 (the budget act), General Revenue appropriations to the Foundation School Program increased by $1.6 billion over the previous biennium. General Revenue," Crownover notes, "is the term for state revenue that the Legislature has direct control over, and the Foundation School Program represents the most direct source of state revenue to our public schools." By law, the foundation program’s purpose is to guarantee that each school district has adequate resources to provide each student a basic instructional program and facilities. Also, each district is guaranteed access to substantially equalized financing for additional needs. Crownover’s statement also says the Legislature could not fund costs associated with rapid projected growth in the student population. After mentioning the $1.6 billion increase a second time, her statement says legislators did their best to prioritize schoolchildren. Clear sailing, then? Not for long. News accounts of legislative deliberations and budget board figures clarify that Crownover’s slightly-off recap of additional state revenue to the foundation program -- the bump proved to be $1.5 billion -- overlooks other spending decisions adding up to more than $5 billion in state-driven education budget reductions. In a way, this claim is a reminder that touting only one part of a budget can be deceptive. Let’s cover what legislators did and said, starting with news reports. Lawmakers tied up loose ends in the 2012-13 budget in a June 2011 special session. Key to Crownover’s claim: Members voted largely along party lines to approve a $2 billion a year reduction in state aid to schools based on existing funding formulas. According to a June 19, 2011, Austin American-Statesman news article, such aid, triggered by expected changes in enrollment, demographics and local property values, had formed the baseline for state education funding for 60 years. In the June session, the Republican heads of respective House and Senate education panels each acknowledged the June action as a reduction to districts though also saying the cuts could have been worse. As the Senate acted, according to a June 4, 2011, news article in the San Antonio Express-News, Sen. Florence Shapiro of Plano said: "Nobody wants cuts. But we have to have them." And as the House followed suit, a June 11, 2011, news article in the Fort Worth Star-Telegram quoted Rep. Rob Eissler of The Woodlands saying the overall net decrease to districts would average 4 to 5 percent, which he called "not that big a cut." Legislative Budget Board analyses of the budget reveal other ways that lawmakers reduced education aid. Board staffers summarized the yet-to-be finalized budget in May 2011 by saying the foundation program’s total funding, counting federal aid, would be reduced by $1.8 billion, a figure later adjusted to $1.9 billion based on actions in the June special session, according to the 2011 "Fiscal Size-up" report. This occurred, in part, due to federal aid to the foundation program dropping $2.8 billion, according to the May 2011 budget summary. In contrast, lawmakers in 2009 had the luxury of applying $3.3 billion in one-time federal stimulus aid to the public education part of the state budget, helping to cover a projected shortfall in state revenue. Congress did not send fresh stimulus money to the states in 2011. Summing up foundation program funding challenges, the 2011 "Fiscal Size-up" report says the 2011 Legislature was faced both with making up for the loss of the federal stimulus dollars that went to education in the previous budget plus $2.2 billion in costs to school districts to accommodate annual enrollment growth of 78,000 students through the 2012-13 school year. In addition, the report says, legislators had to address an estimated $2.3 billion needed to balance out past under-payments to districts for various reasons. And how did lawmakers confront those demands? They put $1.5 billion more in state revenue into the foundation program, as Crownover notes. Otherwise, the report shows, the Legislature did not cover costs of the projected enrollment increases and postponed a regular distribution of state aid to schools for 2012-13 into fiscal 2014, likely meaning the budget to be written by the 2013 Legislature. In addition, the May board summary shows that schools took another hit due to $1.4 billion in legislated reductions in funding for programs outside the foundation program. That 53 percent reduction, the summary says, diminished teacher incentive pay and dropout prevention funding and zeroed out grants to the pre-Kindergarten Early Start program. In a telephone interview, board staff spokesman John Barton told us lawmakers trimmed the reduction to $1.3 billion in their June special session. Our ruling Crownover’s statement focuses on one stream of public school funding. But other legislative decisions resulted in funding reductions to Texas schools more than twice as great as her touted increase. Overall funding to the foundation program went down. So, lawmakers ultimately cut public school aid, with key leaders even acknowledging so as those decisions were sealed. To tell constituents otherwise is not only inaccurate, it’s misleading and ridiculous. Pants on Fire!	None	Myra Crownover	None	None	None	2012-02-20T06:00:00	2012-01-30	['None']
snes-00310	A Portland at gallery displayed an artwork that depicted President Trump's throat being slit with a knife.	true	https://www.snopes.com/fact-check/portland-gallery-trump-knife/	None	Controversy	None	Dan Evon	None	Did a Portland Art Gallery Display an Artwork Depicting President Trump’s Throat Being Slit?	22 July 2018	None	['None']
wast-00182	One of them even said: \xe2\x80\x98If you take my spot, I'll get drafted, and I'll go to Vietnam, and I'll die.\'"	none	 https://www.washingtonpost.com/news/fact-checker/wp/2016/09/14/hillary-clintons-story-of-a-vietnam-era-confrontation-over-law-school-admissions/	None	None	Hillary Clinton	Glenn Kessler	None	Hillary Clinton's story of a Vietnam era confrontation over law school admissions	September 14, 2016	None	['Vietnam']
pomt-10228	"My opponent promises to bring back old jobs by wishing away the global economy."	false	/truth-o-meter/statements/2008/sep/04/john-mccain/obama-talks-often-about-the-global-economy-&mdash-/	In his acceptance speech at the Republican National Convention in St. Paul, Minn., Sen. John McCain alleged that Sen. Barack Obama's plan to create jobs amounted to "wishing away the global economy." The accusation came as McCain was talking about how he would approach today's troubled economy. "I know some of you have been left behind in the changing economy and it often seems your government hasn't even noticed," McCain said in the Sept. 4, 2008 speech. "Government assistance for unemployed workers was designed for the economy of the 1950s. That's going to change on my watch. My opponent promises to bring back old jobs by wishing away the global economy. We're going to help workers who've lost a job that won't come back, find a new one that won't go away." So where's the evidence that Obama wishes away the global economy? "He opposes free trade deals, threatens to unilaterally renegotiate NAFTA, playing on peoples' fear of free trade — wishing away the global economy," McCain spokesman Brian Rogers told us in an email exchange. "It's pretty straightforward." But it's not actually that straightforward. There's heaps of evidence out there against the charge. Obama regularly speaks not about doing away with the global economy, but competing more effectively in it. In fact, Obama did so in his own acceptance speech at the Democratic National Convention in Denver: "Now is the time to finally meet our moral obligation to provide every child a world-class education, because it will take nothing less to compete in the global economy." Here's Obama on August 1, 2008, in St. Petersburg, Fla.: "I refuse to accept that we cannot meet the challenges of our global economy." And later in that same speech: "We can provide every child with a quality education so they have the skills to succeed in our global economy." And on July 31, 2008 in Iowa: "And we'll help American manufacturers — particularly in the auto industry — convert to green technology, and help workers learn the skills they need to stay ahead in the global economy." And on June 16, 2008 in Michigan: "Almost a decade into this century, we still have no real strategy to compete in a global economy." And on and on and on. That doesn't sound to us like someone intent on wishing away the global economy. You may disagree with how Obama would approach the challenges of the global economy, but it's hard to argue that he's pretending it doesn't exist. It's true, as Rogers alluded to, that Obama's rhetoric on free trade is often less enthusiastic than McCain's. He has criticized aspects of the North American Free Trade Agreement, and frequently courted voters who feel left out of the global economy. For example, here's Obama speaking about trade policy in Berlin, Germany on July 24, 2008: "Trade has been a cornerstone of our growth and global development. But we will not be able to sustain this growth if it favors the few, and not the many. Together, we must forge trade that truly rewards the work that creates wealth, with meaningful protections for our people and our planet. This is the moment for trade that is free and fair for all." So yes, Obama is not the most die-hard free trader there ever was. But that's a far cry from promising to "bring back old jobs by wishing away the global economy." He promises quite the opposite — to make the country more competitive in the global economy — and does it quite frequently. We find McCain's charge to be False.	None	John McCain	None	None	None	2008-09-04T00:00:00	2008-09-04	['None']
goop-01314	Kanye West Left Kim Kardashian?	0	https://www.gossipcop.com/kanye-west-left-kim-kardashian-dumped/	None	None	None	Shari Weiss	None	Kanye West Left Kim Kardashian?	11:38 am, March 26, 2018	None	['None']
pomt-15309	"Four times, I said, he (John McCain) is a hero, but you know ... people choose selective pieces."	mostly false	/truth-o-meter/statements/2015/jul/19/donald-trump/trump-i-called-mccain-hero-four-times/	Donald Trump is facing intense bipartisan backlash after saying Vietnam War prisoner of war Sen. John McCain, R-Ariz., is "not a war hero," but an indignant Trump won’t apologize. Trump defended his latest provocation on ABC’s This Week, adding that McCain "has done nothing to help veterans" and suggesting the senator should actually apologize to him for insulting Trump supporters. When pressed by host Martha Raddatz, Trump complained that his critics are taking his comments out of context. "Four times, I said he is a hero," he said on July 19, citing a fact-check by journalist Sharyl Attkisson. "But you know … people choose little selective pieces. If you read what I say or watch what I say, which is even better, you’ll say that there was nothing wrong." We took Trump’s advice and put his statement in context. The backstory The McCain-Trump war of words started in a New Yorker article published July 16. Ryan Lizza asked McCain about Trump and his anti-immigration rally held last weekend in McCain’s home state. McCain, as the article notes, led efforts to push through comprehensive immigration reform and "has been at war with the far right in Arizona for years." "This performance with our friend out in Phoenix is very hurtful to me," McCain told Lizza, "Because what he did was he fired up the crazies." Trump couldn’t take this lying down and retaliated on Twitter: (For the record, McCain graduated 894th out of a class of 899.) When Trump attended a rally in Ames, Iowa, on July 18, Republican pollster Frank Luntz asked him if calling McCain "a dummy" was appropriate. Trump recounted his beef with McCain before questioning his status as war hero in a back and forth with Luntz. Here’s a transcript of their conversation: Trump: "(McCain) insulted me and he insulted everybody in that room. And I said somebody should run against John McCain, who has been, in my opinion, not so hot. And I supported him for president. I raised $1 million for him. That’s a lot of money. I supported him, he lost, he let us down. But he lost and I never liked him much after that 'cause I don’t like losers. But, but — Frank, Frank, let me get to it. Luntz: "He’s a war hero. He’s a war hero …" Trump: "He’s not a war hero ..." Luntz: "He’s war hero." Trump: "He is a war hero ..." Luntz: "Five and half years in a Vietnamese prison camp …" Trump: "He’s a war hero because he was captured. I like people that weren’t captured. So he’s a war hero …" Luntz: "Do you agree with that?" Trump: "He’s a war hero, because he was captured, okay? I believe, perhaps, he’s a war hero. But right now he said some very bad things about a lot of people. So what I said is John McCain, I disagree with him that these people aren’t crazy." Trump literally said McCain "is a war hero" five times, but always with strings attached. Twice, he was interrupted by Luntz before he could finish his sentence. Once, the statement was preceded by "I believe, perhaps." And the last two times, Trump added "because he was captured." He also, of course, started all this by saying McCain is "not a war hero." Experts told us these caveats change the meaning of the sentence entirely. " ‘He’s a war hero because he was captured’ implies that anybody who is captured is called a war hero, but there’s really nothing special about them," said Kathleen Kendall, who studies political campaign communication at the University of Maryland. McCain, whose war record has been the subject of false attacks before, was taken prisoner by the Vietcong when his plane was shot down in 1967. For five and a half years, he was tortured and held in solitary confinement amid attempts by the North Vietnamese to obtain information and false confessions, according to the Navy. As the son of an admiral, McCain was offered an early release but refused until POWs who had been at the camp for longer than him were let go. We’re not remarking on whether captivity is a marker of heroism, but Trump likely wasn’t either, says rhetoric scholar Paul Achter of the University of Richmond. "(Trump) appears to have thought it would be a funny aside to the question he was answering," he said. In short, Trump’s self-defense is flimsy at best. As for his accusation of critics cherry-picking his comments, experts say the pot is calling the kettle black. "He’s taking his own words out of context. That’s the offense he’s charging the media with," Kendall said. We reached out to the Trump campaign for a response but didn’t hear back. Our ruling Trump said, "Four times, I said (McCain) is a hero but you know … people choose selective pieces." Trump literally said McCain is a hero five times, but never without caveats. Once, he added "perhaps, I believe" before conceding the point. Twice, he was interrupted. And the last two times, Trump said, "He is a war hero because he was captured." In other words, Trump also chose "selective pieces" and misquoted himself. We rate his claim Mostly False.	None	Donald Trump	None	None	None	2015-07-19T16:55:38	2015-07-19	['None']
snes-04844	An Oklahoma court ruled that forced sexual contact cannot be considered rape if the victim is intoxicated or unconscious.	mostly false	https://www.snopes.com/fact-check/oklahoma-court-rape-ruling/	None	Crime	None	Kim LaCapria	None	Oklahoma Court Rules It’s Not Rape If the Victim Is Intoxicated?	28 April 2016	None	['None']
snes-01571	"Nightmare on Elm Street" character Freddy Krueger was based on a real life serial murderer.	false	https://www.snopes.com/fact-check/was-freddy-krueger-real/	None	Fauxtography	None	Kim LaCapria	None	Was Freddy Krueger from ‘Nightmare on Elm Street’ Based on a Real Serial Murderer?	17 October 2017	None	['Freddy_Krueger']
tron-02411	Fort Hood Shooter Still on Payroll	truth!	https://www.truthorfiction.com/ft-hood-shooter-paycheck-052513/	None	military	None	None	None	Fort Hood Shooter Still on Payroll	Mar 17, 2015	None	['None']
goop-00901	Angelina Jolie Refused To Attend Royal Wedding Because Kids Weren’t Invited?	0	https://www.gossipcop.com/angelina-jolie-royal-wedding-kids-invited/	None	None	None	Andrew Shuster	None	Angelina Jolie Refused To Attend Royal Wedding Because Kids Weren’t Invited?	1:58 am, June 1, 2018	None	['None']
afck-00304	“Up to 40% of South African women will be raped in their lifetime according to the South African Institute of Race Relations, but estimates vary widely due to underreporting.”	incorrect	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['South_Africa']
goop-02800	Jennifer Garner Did Kick Out Ben Affleck From Family Home, 	1	https://www.gossipcop.com/jennifer-garner-kick-out-ben-affleck-moved/	None	None	None	Shari Weiss	None	Jennifer Garner Did NOT Kick Out Ben Affleck From Family Home, Despite Claim	2:08 pm, May 12, 2017	None	['None']
abbc-00025	Labor has released its 10-year economic plan, with Opposition Leader Bill Shorten promising to return the budget to balance in the 2020-21 financial year if elected.	in-the-red	http://www.abc.net.au/news/2016-06-14/fact-check-is-labor-responsible-for-a-record-deficit/7495860	Senator Cormann is wrong. This fact check is based on research from a previous claim on debt and deficit made by Deputy Liberal Leader Julie Bishop. Budget figures and historical data show that Labor inherited a surplus close to $20 billion, but the deficit they "turned that into" was far from a record. Experts told Fact Check that in order to make comparisons over time, deficits must be measured as a share of GDP, and the largest deficit as a share of GDP in Labor's last term was in 2009-2010 at 4.2 per cent. This pales in comparison with deficits sustained during World War II, which were over 20 per cent of GDP, and World War I, which were over 10 per cent.	['budget', 'federal-elections', 'liberals', 'australia']	None	None	['budget', 'federal-elections', 'liberals', 'australia']	Fact check: Was Labor responsible for 'a record deficit'?	Tue 14 Jun 2016, 3:06am	None	['Bill_Shorten']
