abbc-00319	The claim: Prime Minister Tony Abbott says Australia's jobs rate is on the up. "Jobs growth in 2014 was triple the rate in 2013 – with 4,000 new jobs a week."	in-between	http://www.abc.net.au/news/2015-02-06/abbott-jobs-increase/6063260	The claim: Prime Minister Tony Abbott says Australia's jobs rate is on the up. "Jobs growth in 2014 was triple the rate in 2013 – with 4,000 new jobs a week."	['federal-government', 'business-economics-and-finance', 'liberals', 'abbott-tony', 'australia']	None	None	['federal-government', 'business-economics-and-finance', 'liberals', 'abbott-tony', 'australia']	Fact check: Did jobs growth triple in 2014, as Tony Abbott says?	Thu 3 Mar 2016, 6:04am	None	['Tony_Abbott', 'Australia']
abbc-00256	The controversy over dual nationality that has engulfed the Australian Parliament since mid-July now involves at least seven politicians from the Government, the Greens and One Nation.	in-between	http://www.abc.net.au/news/2017-09-08/fact-check-the-high-court-and-dual-citizenship-scandal/8874064	Contrary to Mr Dreyfus's claim, the situation is not cut and dried. In those cases the court said that for a person to be eligible to stand and be elected to Parliament he or she must take "all steps that could reasonably be taken to renounce" any foreign nationality or citizenship. Looking at the facts in isolation, Mr Joyce, Senator Canavan and Senator Nash did not meet that requirement, as all continued to be dual citizens after being elected. But the matter is not black and white: the court has not had to deal with a situation exactly like this one before. In the previous cases, the people in question were not Australians from birth and there was no dispute that they knew that they obtained citizenship of another country at some point in their lives. It is open to the High Court to completely overturn its existing interpretation of section 44(i). Alternatively, the court can add or clarify its existing interpretation to take into account these different circumstances. This is the position conveyed by the Solicitor-General and the legal representatives of Senator Canavan and Mr Joyce at a recent High Court directions hearing. Whether this would constitute a "change" to the existing position is up for debate.	 ['constitution', 'laws', 'alp', 'australia']	None	None	['constitution', 'laws', 'alp', 'australia']	Fact check: What does the High Court think about dual nationality?	Fri 10 Nov 2017, 12:20am	None	['Australia', 'One_Nation_(Australia)']
abbc-00121	An argument has erupted over the rate of casual employment in the Australian workforce with unions claiming it is on the rise, and Workplace and Deregulation Minister Craig Laundy dismissing this as a lie.	in-the-green	http://www.abc.net.au/news/2018-04-17/fact-check-casualisation/9654334	Mr Laundy's claim checks out, although it relies on a narrow definition of insecure work. Over the past 20 years (to 2017), the rate of casualisation has remained within a narrow band, hovering around 24 or 25 per cent of all employees, according to data from the Australian Bureau of Statistics. Fact Check notes that the terms "casual employment" and "insecure work" are used interchangeably by Mr Laundy, while the ACTU considers casual work to be a sub-set of insecure work. As one expert told Fact Check, the debate over the rate of casualisation is "beset by loose language" and, therefore, open to interpretation.	['liberals', 'work', 'australia']	None	None	['liberals', 'work', 'australia']	Fact check: Has the rate of casualisation in the workforce remained steady for the last 20 years?	Thu 12 Jul 2018, 2:17am	None	['Australia']
abbc-00318	The claim: Joe Hockey has warned that Australia is at a "tipping point" and living beyond its means. "We cannot continue to go on borrowing $100 million a day as a government just to pay our daily bills," he said.	in-between	http://www.abc.net.au/news/2015-02-13/hockey-100-million/6085378	The claim: Joe Hockey has warned that Australia is at a "tipping point" and living beyond its means. "We cannot continue to go on borrowing $100 million a day as a government just to pay our daily bills," he said.	['federal-government', 'budget', 'liberals', 'australia']	None	None	['federal-government', 'budget', 'liberals', 'australia']	Fact check: Hockey over-eggs 'borrowing $100 million a day' claim	Thu 3 Mar 2016, 6:01am	None	['None']
abbc-00134	"Our constituents are the poorest, that's one thing we do know and so we are always looking out for them," Deputy Leader of the Nationals Barnaby Joyce told ABC TV's Q&A.	in-the-green	http://www.abc.net.au/news/2015-12-10/do-the-nationals-represent-australias-poorest-electorates/6952166	Mr Joyce's claim checks out. Experts agree that there is no "gold standard" in measuring poverty. Fact Check was unable to find one dataset that definitively measures poverty in relation to electorates. However, three separate datasets all indicate that the Nationals' electorates are on average poorer or more disadvantaged than those represented by Labor and the Liberal Party.	['poverty', 'political-parties', 'nationals', 'australia']	None	None	['poverty', 'political-parties', 'nationals', 'australia']	Fact check: Do the Nationals represent Australia's poorest electorates?	Fri 11 Dec 2015, 11:30am	None	['None']
abbc-00400	The claim: Mike Baird says other countries like the UK and Canada have lower GST thresholds for online shopping and that these thresholds can also be achieved in Australia.	in-between	http://www.abc.net.au/news/2013-12-12/mike-baird-online-gst-claim-uncertain/5134960	The claim: Mike Baird says other countries like the UK and Canada have lower GST thresholds for online shopping and that these thresholds can also be achieved in Australia.	['retail', 'states-and-territories', 'nsw', 'australia']	None	None	['retail', 'states-and-territories', 'nsw', 'australia']	Can a lower GST threshold for online purchases be achieved in Australia?	Wed 11 Dec 2013, 11:23pm	None	['Australia', 'Canada']
abbc-00155	The claim: Jo Harding, the manager of Bush Blitz, says there's estimated to be about 75 per cent of Australia's biodiversity that's largely unknown	in-the-green	http://www.abc.net.au/news/2014-09-07/75-per-cent-of-species-unknown-fact-check/5649858	The claim: Jo Harding, the manager of Bush Blitz, says there's estimated to be about 75 per cent of Australia's biodiversity that's largely unknown	['biological-diversity', 'environment', 'animals', 'science-and-technology', 'australia']	None	None	['biological-diversity', 'environment', 'animals', 'science-and-technology', 'australia']	Fact check: Are 75pc of Australia's living species unknown?	Sun 7 Sep 2014, 10:18pm	None	['Australia']
abbc-00093	The claim: Barry O'Farrell says NSW collects more from proceeds of crime than all other states and the federal government combined.	in-the-red	http://www.abc.net.au/news/2013-11-26/barry-ofarrell-wrong-on-proceeds-of-crime/5088132	The claim: Barry O'Farrell says NSW collects more from proceeds of crime than all other states and the federal government combined.	['police', 'crime', 'police-sieges', 'law-crime-and-justice', 'states-and-territories', 'government-and-politics', 'liberals', 'nsw', 'australia']	None	None	['police', 'crime', 'police-sieges', 'law-crime-and-justice', 'states-and-territories', 'government-and-politics', 'liberals', 'nsw', 'australia']	Proceeds of crime: Do NSW police seize more than the rest of Australia?	Tue 10 Dec 2013, 12:40am	None	['None']
abbc-00036	The claim: Environment Minister Greg Hunt says the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he says cost $1,300 a tonne.	in-the-red	http://www.abc.net.au/news/2015-10-28/fact-check-direct-action-vs-carbon-tax/6847234	The claim: Environment Minister Greg Hunt says the Coalition's emissions reduction fund, at $13.95 per tonne of carbon, is around 1 per cent of the cost of reducing carbon under the former Labor government's carbon pricing scheme, which he says cost $1,300 a tonne.	['environment', 'climate-change', 'environmental-policy', 'pollution', 'australia']	None	None	['environment', 'climate-change', 'environmental-policy', 'pollution', 'australia']	Fact Check: Was the cost of cutting emissions 100 times greater under Labor?	Thu 29 Oct 2015, 4:18am	None	['Greg_Hunt', 'Coalition_(Australia)', 'Australian_Labor_Party']
abbc-00207	The claim: Indonesian politician Tantowi Yahya says it is illegal for Australia to turn back asylum seeker boats in international waters.	in-the-green	http://www.abc.net.au/news/2013-09-26/government-turn-back-boat-policy/4979898	The claim: Indonesian politician Tantowi Yahya says it is illegal for Australia to turn back asylum seeker boats in international waters.	['immigration', 'refugees', 'federal-government', 'foreign-affairs', 'international-law', 'law-crime-and-justice', 'liberals', 'australia', 'indonesia', 'christmas-island', 'christmas-island-6798', 'cocos-keeling-islands']	None	None	['immigration', 'refugees', 'federal-government', 'foreign-affairs', 'international-law', 'law-crime-and-justice', 'liberals', 'australia', 'indonesia', 'christmas-island', 'christmas-island-6798', 'cocos-keeling-islands']	Is it illegal to turn back boats in international waters to Indonesia?	Mon 17 Nov 2014, 6:33am	None	['Indonesia', 'Australia', 'Tantowi_Yahya']
