tron-02151	Jordan Kaylum: Facebook Donates $2 Per Like for Baby with Cancer	fiction!	https://www.truthorfiction.com/jordan-kaylum-facebook-donates-2-per-like-baby-cancer/	None	internet	None	None	['facebook', 'scams']	Jordan Kaylum: Facebook Donates $2 Per Like for Baby with Cancer	Sep 8, 2016	None	['None']
pomt-02001	Brazil built a $300 million stadium in the Amazon rainforest that "is only going to be used for four World Cup games," and there’s no team "that can fill it afterwards."	true	/punditfact/statements/2014/jun/11/john-oliver/john-oliver-says-new-soccer-stadium-world-cup-will/	The eyes of international soccer fans are trained on Brazil, the country hosting the World Cup that kicks off Thursday. There is excitement for the month-long tournament played every four years. But in Brazil, there is also unrest. Disappointed Brazilians are protesting the country’s spending of more than $11 billion on infrastructure upgrades and stadiums to get ready for the tournament, with games spread across 12 cities in a country larger than the continental United States. Another sore spot is the role of soccer’s governing body, the Federation Internationale de Football Association, or FIFA, which chose Brazil as the host country and will reap most of the profits from the mega event. Soccer fan and comedian John Oliver, host of HBO’s Last Week Tonight, sought to illuminate soccer’s dark side in his June 8 show. One project that epitomizes World Cup waste, he argued, is a new 42,000-seat stadium in a city within the Amazon rainforest that cost the country more than $300 million to build. The city of Manaus is way, way, way off the beaten path. To emphasize how out of the way it is, Oliver pulled a TV news clip describing how stadium materials were shipped by boat from Portugal across the Atlantic Ocean and up the Amazon River. "Okay, that does seem like a waste of money, especially when you consider that that stadium is only going to be used for four World Cup games," Oliver said. "There’s also no team in Manaus that can fill it afterwards, at which point it becomes the world’s most expensive bird toilet." We wanted to explore whether the stadium’s only real purpose is four World Cup games. FIFA requires eight venues for the tournament’s 64 matches, but Brazil selected 12 host cities. What seemed like an opportunity to share development, tourism and growth has posed logistical and financial problems around the country. Citing unfinished roads, stadiums and work areas, the mayor of Rio de Janeiro admitted "we made a mistake" in choosing a dozen hosts. Manaus, located in the northwestern Brazilian state of Amazonas, may be the most peculiar choice. The historic city of 2 million attracts business from electronics and oil industries thanks to its status as a free economic zone. Still, it’s mostly accessible by boat and air, nestled near the famous "Meeting of the Waters," where the black Rio Negro and muddy Amazon meet but do not mix. Getting a World Cup-ready stadium ready in Manaus was an enormous feat, generating attention from the the Miami Herald, The New York Times, The Telegraph, the Los Angeles Times and Canada’s CBC News, to name a few. An existing stadium with just 20,000 seats had to be torn down in order to build a stadium that meets FIFA regulations. Its replacement, the German-designed Arena Amazonia, looks like a giant woven straw basket, the seats inside painted in shades of tropical fruit. The project got off to a slow start, and three men died during construction and there are questions whether the playing surface will be in decent shape. As Oliver said, it will host just four games -- the first on June 14 between England and Italy. The U.S. team will face Portugal there June 22. The other matches are Cameroon vs. Croatia and Honduras vs. Switzerland. So what’s next after the four World Cup matches? Manaus is not home to a top-tier Brazilian soccer team that might sustain big crowds when the World Cup is gone. The Miami Herald reported nonspecific plans for the stadium to host guest matches between Rio de Janeiro and Sao Paulo teams. A local team in the country’s fourth soccer division, Nacional Futebol Clube, plans to play in the stadium when the World Cup ends. But a report from the Telegraph, and others, highlights low attendance figures of up to 1,000 fans for the team’s games. The Manaus stadium seats 42,000 people. "We were careful with our wording to say that there is no ‘team in Manaus that can fill it afterwards’ — not to say that no one was going to play in it afterwards," reads a statement from the show’s research team via an HBO spokeswoman. "We knew that there are plans to use the stadium for other purposes, too, and that some people hope the stadium will bring increased popularity to the Nacional team. "But we felt like we were justified to have a deep skepticism about those claims, especially given the cost just to maintain the facility — and we felt we were on safe ground to word the joke the way we had it." This stadium is not the only project deemed by some as a "white elephant." Brazilian soccer star-turned-congressman Romário told the New York Times in 2013 that new stadiums in Manaus, Cuiaba and Natal "are absurd." "There will be a couple games there and then what? Who will go? It is an absolute waste of time and money," he said. FIFA spokeswoman Delia Fisher stressed that the government owns the stadium, not FIFA, and there are plans to "privatize" it after the World Cup. FIFA’s website says the stadium in Manaus "will continue to attract tourists after the tournament by hosting concerts and cultural events." The 2016 Olympics will also be in Brazil, but the soccer matches and other Olympic events will take place in the host city of Rio de Janeiro or surrounding cities, a four-hour flight to the south and east from Manaus. Our ruling Oliver said Brazil built a $300 million stadium in the Amazon rainforest that "is only going to be used for four World Cup games," and there’s no team "that can fill it afterwards." His point is accurate. There are hopes and dreams for the stadium’s life when the World Cup is over, and locals hope it spurs more interest in local soccer teams in Manaus and can be used for big-ticket concerts and conferences. But the stadium, based on what we know, largely will sit unused. We rate Oliver’s claim True.	None	John Oliver	None	None	None	2014-06-11T12:02:39	2014-06-08	['Brazil']
pomt-03877	Under Gov. John Kasich’s budget proposal, "the top one percent in Ohio will pay $10,000 less in income tax each year, but Ohio’s working and middle class families will pay more."	half-true	/ohio/statements/2013/mar/07/dan-ramos/state-sen-dan-ramos-says-top-earners-would-pay-les/	Gov. John Kasich’s proposed tax overhaul would affect the pocketbooks of all Ohioans – whether for good or for ill is a source of disagreement among state lawmakers. The Republican governor’s plan aims to reduce income taxes for all Ohioans by 20 percent, shave down sales tax to 5 percent while broadening the sales-tax base to include previously tax-exempt services, and slash in half taxes on most small-business income. Kasich also wants to reform oil and gas severance taxes. The tax plan is drummed up by Kasich’s administration as a victory for all Ohio taxpayers. But Rep. Dan Ramos, a Lorain Democrat, is among those who liken the budget proposal to a shell game only Ohio’s upper crust can win. "Under [Kasich’s] plan, the top one percent in Ohio will pay $10,000 less in income tax each year, but Ohio’s working and middle class families will pay more," Ramos said Feb. 19 in a written statement. PolitiFact Ohio decided to audit the representative’s numbers. Ramos’ office said the assertion draws from a study released by left-leaning think tank Policy Matters Ohio, which cites calculations by the Washington-based Institute on Taxation and Economic Policy. The numbers released in February by ITEP show that the top one percent of Ohio taxpayers, with a mean income above $335,000, would save an average of $10,369 each year. Ohioans earning less than $18,000 would, on average, pay an additional $63 in taxes. ITEP further asserts that Kasich’s proposed tax reform would typically result in a net loss for Ohioans making up to $51,000 each year. But how did ITEP get its numbers? The non-profit said it uses an elaborate microsimulation tax model that calculates the impact of changes to current tax law at the federal and state level. Among the stratified data used in the model are a large sample of federal tax returns, Bureau of Labor Statistics Consumer Expenditure Surveys and Census Bureau American Community Surveys, they said. The New York Times has lauded the credibility of the model and Bloomberg has used the model’s calculations as reporting tools. For Ohio, ITEP factored Kasich’s proposed tax revamps – minus his severance tax plan – into its calculations and delivered its findings to Policy Matters Ohio. That’s where Ramos picked up the figures and used them in his argument that Kasich’s plan would "shift the burden of taxes from the shoulders of those who have to the shoulders of those who have not." And Ramos is mostly correct. The numbers are credible, but Ramos’s statement implies that every working and middle-class family would pay more under the reform. According to the ITEP numbers, 20 percent of Ohioans earn between $51,000 and $78,000 per year, and would begin to see an average yearly savings of about $75. The line between middle- and upper-class incomes is up for debate – not one to be defined absolutely by PolitiFact Ohio – but it’s safe to say that a yearly income of $51,000 is a far cry from upper-class. Ramos was correct in describing the tax benefit to Ohioans with the highest incomes, but he wrongly implied that all working and middle-class families would take a hit under Kasich’s plan. For that, we rate his statement Half True.	None	Dan Ramos	None	None	None	2013-03-07T15:16:27	2013-02-19	['Ohio', 'John_Kasich']
snes-01768	The reaction between metallic mercury and aluminum, which produces a dramatic chain reaction popular on YouTube science channels, is evidence that vaccines are not safe.	false	https://www.snopes.com/fact-check/viral-mercury-aluminum-mixing-vaccines/	None	Medical	None	Alex Kasprak	None	Does a Viral Video of Mercury and Aluminum Mixing Suggest That Vaccines Are Unsafe?	7 September 2017	None	['None']
pomt-09400	Florida's legal challenge of the federal health care bill is "bipartisan."	mostly false	/florida/statements/2010/mar/23/bill-mccollum/florida-bill-mccollum-health-care-lawsuit/	Florida Republican Attorney General Bill McCollum says politics isn't the reason for his legal challenge to the landmark health care bill signed into law by President Barack Obama. To help make the point, McCollum says the 22-page suit filed in a Pensacola federal court on March 23, 2010, is "bipartisan." "This bipartisan effort by attorneys general around the country should put the federal government on notice that we will not tolerate the constitutional rights of our citizens and the sovereignty of our states to be trampled on," McCollum said in a press release announcing the lawsuit. "This law represents an unprecedented encroachment on the liberty of the American people, and I will pursue this litigation to the highest court if necessary." The lawsuit argues that the federal government cannot impose taxes or financial penalties on someone who fails to have health insurance. Given how polarized the health care debate has become, we wondered how "bipartisan" the suit truly was. Thirteen attorneys general have signed on. They are: McCollum, Florida Henry McMaster, South Carolina (R) Jon Bruning, Nebraska (R) Gregg Abbott, Texas (R) Mark Shurtleff, Utah (R) James D. "Buddy" Caldwell, Louisiana (D) Troy King, Alabama (R) Michael A. Cox, Michigan (R) John W. Suthers, Colorado (R) Thomas W. Corbett Jr., Pennsylvania (R) Robert M. McKenna, Washington (R) Lawrence G. Wasden, Idaho (R) Marty J. Jackley, South Dakota (R) Of that list, Caldwell of Louisiana is the lone Democrat. The rest are Republicans. There is no hard and fast definition of bipartisan, but it's quite a stretch to say one out of 13 is bipartisan. As a point of reference, consider two Congressional actions that are almost universally described as bipartisan -- the No Child Left Behind Act of 2001 and the 1996 welfare overhaul. Ninety-eight Democrats and 230 Republicans voted for the welfare reform package in the U.S. House. Another 25 Democrats joined 53 Republicans voting for the bill in the U.S. Senate. No Child Left Behind passed 381-41 in the House with 183 Republicans and 198 Democrats voting for it. It passed 87-10 in the Senate with the support of 44 Republicans and 43 Democrats. McCollum, who is running for governor, claims that his constitutional challenge of the landmark health care bill passed by Congress is a "bipartisan effort." That's pretty misleading when only one out of 13 attorneys general supporting the lawsuit is something other than a Republican. As such, we rate his claim Barely True. Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	Bill McCollum	None	None	None	2010-03-23T17:03:39	2010-03-23	['None']
pomt-06546	Says that in 2001, Rick Perry spoke favorably of binational health insurance between Mexico and Texas.	half-true	/texas/statements/2011/oct/04/rick-santorum/rick-santorum-says-rick-perry-talked-binational-he/	In the Sept. 22, 2011, Republican presidential debate, Rick Santorum called Rick Perry soft on illegal immigration, citing the Texas governor's continued support for a state law allowing some children of illegal immigrants to pay in-state tuition at public colleges and universities. Also, Santorum said, Perry "gave a speech in 2001 where he talked about binational health insurance between Mexico and Texas. I mean, I don't even think Barack Obama would be for binational health insurance." We wondered whether Santorum, a former U.S. senator from Pennsylvania, was right in insinuating that Perry spoke in favor of binational health insurance in 2001. First, some background: Binational, or "cross-border," health insurance refers to coverage that provides benefits in two countries or in a country other than the one in which an enrollee lives or works. California has been a leader in binational plans, according to a 2010 report by David Warner, a professor at the University of Texas LBJ School of Public Affairs. He told us in an interview that although plan specifics differ, the general idea is for U.S. employers to offer their workers a choice between receiving their health care services exclusively in Mexico or getting standard U.S.-based coverage. Workers may live and work in the United States or may live in Mexico and commute across the border to legally work on the U.S. side. Warner's report says that at least four U.S. insurers offer binational plans that allow enrollees to access networks of providers in Mexico. For example, Blue Shield of California's "Access Baja" option generally restricts enrollees, who must live within 50 miles of the California-Mexico border, to seeking care through providers in the Mexican border cities of Tijuana and Mexicali. Proponents say that because binational plans are cheaper than standard U.S. plans (primarily because health care is cheaper in Mexico), they make it easier for low-income workers to afford coverage. In Texas, the state Department of Insurance told us that it doesn't know of insurers offering cross-border plans. However, it's possible that some employers in the border area do — if they are "self-funded," meaning they bear the financial responsibility and risks of coverage themselves. Such plans are not regulated by the agency. Texas proponents of binational plans have said they could help reduce the uninsured population in the state's border region. In 2010, 43 percent of border residents were uninsured, compared to 23 percent statewide, according to data from the Texas Department of State Health Services. Opponents have expressed concerns about the quality of care provided by Mexican health care providers and the inability of the state to monitor it. Back to Perry and his speech. According to an Aug. 31, 2011, Dallas Morning News blog post, Perry mentioned binational health insurance at an August 2001 summit on border issues. It was hosted by the University of Texas-Pan American in Edinburg, which is in the Rio Grande Valley about 10 miles from the Texas-Mexico border. According to news articles, the meeting brought together high-level government officials and business leaders from Mexico and the United States, including Norman Mineta, then the U.S. secretary of transportation. An Aug. 23, 2001, Morning News news article said panels at the summit weighed topics such as the North American Free Trade Agreement, water issues and border health concerns. Perry spoke to the gathering on Aug. 22, 2001. According to the text of his remarks, posted on his state website, he was upbeat about increased cooperation and trade between the United States and Mexico. And he called for the two nations to work together to solve shared problems. Perry then touched on infrastructure, trade and water issues before focusing on health care. He singled out several problems in border areas, including a lack of preventive care and the limited availability of medical specialists. "We have much to gain if we work together to expand preventative care and treat maladies unique to this region," Perry said. Perry next said a legislative proposal by then-state Rep. Pat Haggerty, R-El Paso, and state Sen. Eddie Lucio Jr., D-Brownsville, "establishes an important study that will look at the feasibility of binational health insurance. This study recognizes that the Mexican and U.S. sides of the border compose one region, and we must address health care problems throughout that region." Lucy Nashed, a spokeswoman in the governor’s office, confirmed that Perry's mention of a binational health insurance study referred to a bill passed during the 2001 legislative session that created a committee to "assess the health care needs of the border area" and "the affordability, cost-effectiveness, economic impact, and improved health status achievable through binational health benefit plan coverage." Katherine Cesinger, a spokeswoman for Perry's presidential campaign, said the study "ultimately concluded there were numerous barriers to accomplishing" binational health insurance, "and the Legislature took no further action on this concept." The January 2003 report by the Interim Committee on Binational Health Benefit Plan Coverage, first discusses health care concerns in the Texas border region and California's experience with binational health insurance. It then lays out cost savings that binational insurance plans were projected to generate in Texas, as well as legal and practical impediments to implementing them. The report closes with 10 scenarios for moving forward if the Legislature "determines that binational health plans are a viable option to provide affordable health plans." The scenarios range from changing state law covering health maintenance organizations to allow for binational options to setting up a pilot project that would allow the plans to be offered in one part of the border region. In 2007, Sen. Lucio and Rep. Jose Menendez, D-San Antonio, introduced proposals to allow for the offering and regulating of "cross border" health benefit plans covering medical services within 75 miles of either side of the border. Those measures died. We asked Perry's campaign whether he favors binational health plan options for border residents and received no response. Separately, we reviewed news accounts and other Perry speeches and statements for signs that Perry talked up binational health insurance before or after his 2001 speech. We found one earlier reference, in an Aug. 6, 2001, "editorial" on the governor’s state website describing how legislation passed during that year's session would help the border region. Perry highlighted the same bill that led to the 2003 report: "We further addressed health care needs through House Bill 2498, which establishes an interim study to provide recommendations for the development of affordable and accessible health care coverage — including the possibility of bi-national health care coverage — along the Texas-Mexico border region." Earlier in 2001, Perry vetoed a measure calling for state health officials to develop a statewide "strategic health plan," including an examination of how increased trade with Mexico had affected the border region. In a statement, Perry said one reason for the veto was "the failure to include a binational approach to developing the plan." "Effective solutions should also involve the cooperation and the commitment" of Mexico, Perry said. Our ruling Perry talked about binational health insurance in a 2001 speech, as Santorum said. However, his dig about Perry's mention wrongly implies that the governor is working to establish binational health insurance. We found no evidence of Perry taking further action in the 10 years since. We rate Santorum's statement Half True. To comment on this ruling, "like" us on Facebook.	None	Rick Santorum	None	None	None	2011-10-04T17:10:46	2011-09-22	['Mexico', 'Texas', 'Rick_Perry']
wast-00026	"[Gorsuch was] first in his class at Harvard. First in his class at Oxford.	false	 https://www.washingtonpost.com/politics/2018/09/12/anatomy-trump-rally-percent-claims-are-false-misleading-or-lacking-evidence/	None	None	Donald Trump	Glenn Kessler	None	Anatomy of a Trump rally: 70 percent of claims are false, misleading or lacking evidence	September 12	None	['Harvard_University', 'Oxford']
snes-06339	Photographs show an enormous bear killed by an Alaskan hunter.	mostly true	https://www.snopes.com/fact-check/bear-hunt/	None	Fauxtography	None	David Mikkelson	None	Bear Hunt	29 May 2002	None	['Alaska']
pomt-11747	"We’re … getting into the pool of the 100 million people that are not working. That pool is now coming back."	mostly true	/truth-o-meter/statements/2017/dec/07/donald-trump/donald-trump-says-job-market-getting-non-workers-w/	President Donald Trump took a victory lap on the job market during one of his periodic Cabinet meetings. "Unemployment is at a 17-year low," he said on Dec. 6, 2017. "Very shortly it's going to be at a 19-year low. We think the numbers are going to continue to go down. And we're also getting into the pool of the 100 million people that are not working. That pool is now coming back. As you know, that's not considered in the low employment numbers, which means we have a lot of people that want to get to work, and that will be working." The unemployment rate is indeed at its lowest point since December 2000. But we were curious about Trump’s other assertion -- that would-be workers from a pool of 100 million are coming back into the workforce. See Figure 1 on PolitiFact.com President Donald Trump at a cabinet meeting on Dec. 6, 2017. (Kevin Dietsch-Pool/Getty Images) First off, Trump is in the ballpark when he says that there are 100 million people not working. There are currently 95.4 million people above the age of 16 who are out of the labor force -- meaning neither working nor actively looking for work -- and another 6.5 million people who are unemployed. If you look at the raw number of Americans who are not in the labor force -- people who are not working or looking actively for work -- that figure has risen by 1.02 million since January 2017, an increase of about 1 percent. Meanwhile, the labor force participation rate -- or the percentage of people age 16 and up who are either working or actively looking for work -- has been bouncing around in a narrow band since Trump took office -- between 62.7 percent to 63.1 percent -- with no clear trend. While neither of these measures supports Trump’s assertion, each presents an imperfect view of the labor pool by including everyone 16 and up. Those totals are shaped by demographic changes. "Demographic trends such as the aging of the baby boomer cohort have been the primary drivers for the decline in labor force participation," said Chris Lafakis, a director at Moody's Analytics. "We simply have more retirees now because our population is older." If you drill down using statistics that are more targeted to working-age Americans, Trump’s assertion looks more credible. Consider the employment-to-population ratio for Americans age 25 to 54. During Obama’s last 12 months, this measurement rose by half a percentage point. (Rising, for this statistic, is good -- it means a larger percentage of Americans are employed.) But in the first 10 months of Trump’s tenure, the statistic rose by six-tenths of a percentage point. That’s not a radical improvement, but it’s better than his predecessor managed in his final year. Here’s the full chart (with Obama months in blue and Trump months in red): See Figure 2 on PolitiFact.com If you look at the raw numbers, the number of non-workers in the 25 to 54 age range has declined by about 691,000 since January 2017. Another statistic also puts the improvement in 2017 in a favorable light. That would be the unemployment rate known as "U-6." This statistic uses a more generous definition of unemployment than the most commonly used measure. The U-6 rate includes not just workers who are officially unemployed but also those who are employed part-time when they would prefer a full-time job, and those who want to work but who haven’t looked for work in the preceding four weeks. In Obama’s final year, this measure dropped by half a percentage point. (A drop is a good sign.) But under Trump, it has dropped by 1.5 percentage points -- three times faster in a shorter period of time. Here’s the full chart: See Figure 3 on PolitiFact.com This statistic is an important one for judging Trump’s assertion, because the people who would be driving the declines would specifically be those who find jobs after being unemployed by conventional definitions, plus those who had been forced to work only part time and those who had not looked for work for several months. "President Trump is correct that the ‘pool of non-workers’ continues to shrink," said Brookings Institution economist Gary Burtless, though he added that it has done so "fairly steadily" since the last quarter of 2011. Jed Kolko, the chief economist for the job site Indeed.com, puts significant stock in the two statistics that support Trump’s statement. "Our view is that the labor market is entering 2018 with strength and momentum, with some room to grow," Kolko said. Finally, it’s worth noting that no president can take full credit for the economy’s achievements (or take full fault for its shortcomings). Many other factors, including the health of the rest of the world economy and changes in demographics and technology, play a role as well. Our ruling Trump said that "we’re … getting into the pool of the 100 million people that are not working. That pool is now coming back." The statistics that shine the most direct light on working-age Americans support Trump’s point. Both the working-age employment-to-population ratio and the U-6 expanded unemployment rate have improved on Trump’s watch. It’s worth noting that they also improved during Obama’s final year, so Trump was fortunate to take office at a time when the economy was already going in the right direction. But the scale of the increase has been bigger under Trump. We rate this statement Mostly True. See Figure 4 on PolitiFact.com	None	Donald Trump	None	None	None	2017-12-07T16:13:49	2017-12-06	['None']
snes-00299	A 9-year-old boy suffered burns to his feet after the light-up soles on his Skechers shoes got wet.	unproven	https://www.snopes.com/fact-check/skechers-chemical-burns/	None	Inboxer Rebellion	None	Arturo Garcia	None	Did a Child Suffer Chemical Burns from a Skechers Light-Up Shoe?	24 July 2018	None	['None']
vees-00004	VERA FILES FACT CHECK: Report claiming 'over 10,000 Chinese military' are in Manila	false	http://verafiles.org/articles/vera-files-fact-check-report-claiming-over-10000-chinese-mil	None	None	None	None	false story	VERA FILES FACT CHECK: Report claiming 'over 10,000 Chinese military' are in Manila FALSE	November 01, 2018	None	['China']
pomt-01423	Says U.S. Rep. Steve Southerland "voted himself health care for life."	pants on fire!	/florida/statements/2014/oct/08/democratic-congressional-campaign-committee/democrats-accuse-southerland-seeking-health-care-l/	Gwen Graham and U.S. Rep Steve Southerland are getting some help from their respective national parties in their hotly contested Panhandle Congressional district race. To bolster Graham, the Democratic Congressional Campaign Committee is using a new commercial to revive an old attack. "Congressman Southerland voted himself health care for life," the Sept. 30, 2014, ad says. This claim is followed by a laundry list of actions about which the DCCC thinks voters will dislike. Southerland’s office denied this, and when we’ve looked at this claim before, we took a dim view of such hyperbole. When a pro-Democratic group said Arkansas Republican Rep. Tom Cotton voted in favor of "taxpayer-funded health care for life," PolitiFact rated it Pants On Fire! Let’s see how this claim fares on the Truth-O-Meter. Law of the land This gets a little complicated, so bear with us. The flap stems from the fact that Congress has to abide by the terms of President Barack Obama’s signature health care law as much as you do. Back in 2010, Republican Sen. Chuck Grassley of Iowa attached an amendment to the law requiring members of Congress to obtain health insurance through the exchanges touted by the bill. Before that, lawmakers bought insurance through the Federal Employee Health Benefit Program, in which federal employees younger than 65 chose a plan and split premiums with the federal government. This is much like the way it works for anyone with an employee-sponsored group plan -- in this case, it’s just that their employer is the U.S. government. If Congress ever repealed Obamacare, the Federal Employee Health Benefit Program would return. And the GOP majority has been trying to repeal Obamacare for years now, voting to do away with or alter the law more than 50 times, depending on what you count. The commercial cites a July 11, 2012, vote on HR 6079, a repeal bill that netted a yes vote from Southerland. The congressman had plenty of other yes votes on similar bills -- his online House profile boasts that he has voted to "to repeal, replace, and defund Obamacare over 40 times." -- but the DCCC pointed to a story in The Hill about this specific instance. "Not only are Republicans helping their insurance company donors, they’re also trying to help themselves," an unnamed Democratic official told The Hill in the July 9 article before the vote. "House Republicans are set to repeal the promise that members of Congress have health care just like everyone else and to restart the perk of lifetime government health care for themselves." Using that for proof is dubious, as the Democrats are basically citing one of their own anonymously as a source. They are essentially laundering a Democratic talking point through a nonpartisan newspaper. So let’s say Obamacare was magically legislated away and the old congressional system returns. Here’s the problem with the claim: Lawmakers and their aides don’t get to use the federal health plan forever. If a politician loses an election or an aide leaves their congressional job, they will no longer be eligible for the Federal Employee Health Benefit Program. Then, when they turn 65, Medicare will take over, but a lawmaker, if they choose, can keep their current plan in order to pay for things Medicare doesn’t cover. In either case, they still have to keep paying premiums. Meanwhile, in the real world, if a member of Congress is buying an insurance plan off an exchange, that coverage is subject to the same terms as anyone else’s policy. Again, if they don’t pay the premium, they don’t have coverage. That’s hardly guaranteeing any lawmaker lifetime health insurance. Southerland’s office pointed out the Panama City Republican voted in favor of the House’s budget resolution in April 2014. That bill encompassed the GOP’s budget policy, actually stating in part, "Retirement benefits for Members of Congress should not include free, taxpayer-funded health care for life." It passed along party lines and was sent to the Senate, where it is stalled. Our ruling The DCCC says Southerland "voted himself health care for life." This is a campaign tactic the Democrats have used before, referring to how members of Congress would get to fall back to the Federal Employee Health Benefit Program should Obamacare be repealed and its insurance marketplaces be shuttered. This federal program doesn’t last for life, but only as long as a member of Congress or an aide works for the federal government. It also switches over to Medicare when a lawmaker still in office turns 65. We rate this claim Pants On Fire!	None	Democratic Congressional Campaign Committee	None	None	None	2014-10-08T13:51:57	2014-09-30	['United_States']
