hoer-00472	Hunter Accidentally Shot His Wife Because He Thought She Was a Buffalo	statirical reports	https://www.hoax-slayer.com/hunter-mistakes-wife-for-buffalo-fake-news.shtml	None	None	None	Brett M. Christensen	None	Fake-News Report Claims That a Hunter Accidentally Shot His Wife Because He Thought She Was a Buffalo	October 14, 2015	None	['None']
hoer-00627	Australian Government Withdrawing Funds From Inactive Accounts Warning	true messages	https://www.hoax-slayer.com/government-inactive-accounts-warning.shtml	None	None	None	Brett M. Christensen	None	Australian Government Withdrawing Funds From Inactive Accounts Warning	July 4, 2013	None	['Australia']
hoer-00742	Phenylpropanolamine FDA Recall Warning Email	true messages	https://www.hoax-slayer.com/phenylpropanolamine-recall.html	None	None	None	Brett M. Christensen	None	Phenylpropanolamine FDA Recall Warning Email	31st January 2010	None	['None']
hoer-01267	News Story Falsely Reports ISIS Attacks in Glasgow, Cheshire, and South Yorkshire	fake news	https://www.hoax-slayer.net/hoax-news-story-falsely-reports-isis-attacks-in-glasgow-cheshire-and-yorkshire/	None	None	None	Brett M. Christensen	None	Hoax News Story Falsely Reports ISIS Attacks in Glasgow, Cheshire, and South Yorkshire	December 3, 2015	None	['Glasgow', 'Cheshire']
hoer-00429	Facebook Grant Award Advance	facebook scams	https://www.hoax-slayer.com/facebook-grant-award.shtml	None	None	None	Brett M. Christensen	None	Facebook Grant Award Advance Fee Scam	10th February 2011	None	['None']
hoer-01086	Yet Another Range Rover Giveaway	facebook scams	https://www.hoax-slayer.net/yet-another-range-rover-giveaway-scam-hitting-facebook/	None	None	None	Brett M. Christensen	None	Yet Another Range Rover Giveaway Scam Hitting Facebook	October 16, 2016	None	['None']
hoer-00859	Young Romanian Woman' Car Crash Scam Warning	unsubstantiated messages	https://www.hoax-slayer.com/romanian-woman-car-crash-warning.shtml	None	None	None	Brett M. Christensen	None	Young Romanian Woman' Car Crash Scam Warning	November 14, 2013	None	['None']
hoer-00622	Missing Teen Devon Ward Has Been Located and is Safe	true messages	https://www.hoax-slayer.com/devon-ward-missing.shtml	None	None	None	Brett M. Christensen	None	Missing Teen Devon Ward Has Been Located and is Safe	August 16, 2013	None	['None']
hoer-00753	God Spilled the Paint Photograph	true messages	https://www.hoax-slayer.com/god-spilled-paint.shtml	None	None	None	Brett M. Christensen	None	God Spilled the Paint Photograph	November 2009	None	['None']
hoer-00223	Is Facebook Removing Australian Defence Badge Pictures?	facebook scams	http://www.hoax-slayer.net/is-facebook-removing-australian-defence-badge-pictures/	None	None	None	Brett M. Christensen	None	Is Facebook Removing Australian Defence Badge Pictures?	March 3, 2016	None	['None']
hoer-00468	Hundreds Dead after Eating Patti LaBelle Pie	statirical reports	http://www.hoax-slayer.net/fake-news-report-claims-hundreds-dead-after-eating-patti-labelle-pie/	None	None	None	Brett M. Christensen	None	Fake-News Report Claims Hundreds Dead after Eating Patti LaBelle Pie	November 16, 2015	None	['None']
hoer-00554	Flappy Bird Creator Committed Suicide	statirical reports	https://www.hoax-slayer.com/flappybird-death-satire.shtml	None	None	None	Brett M. Christensen	None	Satirical Article Falsely Claims Flappy Bird Creator Committed Suicide	February 11, 2014	None	['None']
hoer-00985	House Giveaway	facebook scams	https://www.hoax-slayer.net/house-giveaway-facebook-scams-continue/	None	None	None	Brett M. Christensen	None	House Giveaway Facebook Scams Continue	November 15, 2017	None	['None']
hoer-00937	Pizza Hut Free Pizza Facebook Giveaway	facebook scams	https://www.hoax-slayer.net/pizza-hut-free-pizza-facebook-giveaway-scam/	None	None	None	Brett M. Christensen	None	Pizza Hut Free Pizza Facebook Giveaway Scam	October 22, 2018	None	['None']
hoer-00210	Post Circulating Rekindles a 1990s Anti-Margarine Email	misleading recommendations	https://www.hoax-slayer.com/margarine-butter.shtml	None	None	None	Brett M. Christensen	None	Post Circulating Rekindles a 1990s Anti-Margarine Email	October 24, 2012	None	['None']
hoer-00243	MattyB Like-Farming	facebook scams	https://www.hoax-slayer.com/mattyb-like-farming-scam.shtml	None	None	None	Brett M. Christensen	None	MattyB Like-Farming Scam	March 25, 2015	None	['None']
hoer-00987	iPhone X Giveaway	facebook scams	https://www.hoax-slayer.net/iphone-x-giveaway-scam/	None	None	None	Brett M. Christensen	None	iPhone X Giveaway Facebook Scam	October 9, 2017	None	['None']
hoer-00329	Facebook Proposed Video Ads Message	facebook scams	https://www.hoax-slayer.com/facebook-video-ads-hoax.shtml	None	None	None	Brett M. Christensen	None	Facebook Proposed Video Ads Message	April 30, 2013	None	['None']
hoer-00718	Olympic Tower 2016 - Rio Solar City Tower Design	true messages	https://www.hoax-slayer.com/solar-city-tower-2016-olympics.shtml	None	None	None	Brett M. Christensen	None	Olympic Tower 2016 - Rio Solar City Tower Design	17th August 2010	None	['None']
hoer-00451	Justin Bieber is Moving to Roanoke, Texas	statirical reports	http://www.hoax-slayer.net/justin-bieber-is-not-moving-to-roanoke-texas/	None	None	None	Brett M. Christensen	None	Justin Bieber is NOT Moving to Roanoke, Texas	March 26, 2016	None	['Roanoke,_Virginia', 'Texas']
hoer-00376	'Share if You Are Against Child Abuse' Facebook Post	facebook scams	https://www.hoax-slayer.com/share-against-child-abuse-post.shtml	None	None	None	Brett M. Christensen	None	Pointless and Exploitive 'Share if You Are Against Child Abuse' Facebook Post	15th March 2012	None	['None']
hoer-00025	'Semen Found on McDonald's Burger'	bogus warning	https://www.hoax-slayer.com/hoax-semen-mcdonalds-mayonnaise.shtml	None	None	None	Brett M. Christensen	None	HOAX - 'Semen Found on McDonald's Burger'	May 28, 2014	None	['None']
hoer-00402	Eat for Free at CheeseCake Factory	facebook scams	https://www.hoax-slayer.com/cheese-cake-factory-survey-scam.shtml	None	None	None	Brett M. Christensen	None	Facebook Survey Scam - Eat for Free at CheeseCake Factory	11th December 2011	None	['None']
hoer-01237	the Pope Has Endorsed Hillary Clinton For President	fake news	https://www.hoax-slayer.net/no-the-pope-has-not-endorsed-hillary-clinton-for-president/	None	None	None	Brett M. Christensen	None	No, the Pope Has NOT Endorsed Hillary Clinton For President	October 14, 2016	None	['None']
hoer-00929	Killer Insect SOS Alert Warning	bogus warning	https://www.hoax-slayer.net/killer-insect-sos-alert-hoax-warning/	None	None	None	Brett M. Christensen	None	Killer Insect SOS Alert Hoax Warning	January 4, 2016	None	['None']
hoer-00253	'Teen Died Immediately' Facebook Post	facebook scams	https://www.hoax-slayer.com/teen-died-immediately-facebook-video-scam.shtml	None	None	None	Brett M. Christensen	None	SURVEY SCAM - 'Teen Died Immediately' Facebook Post	May 5, 2014	None	['None']
hoer-01194	Unblock Goverment Facebook Phishing	facebook scams	https://www.hoax-slayer.net/unblock-goverment-facebook-phishing-scam/	None	None	None	Brett M. Christensen	None	Unblock Goverment Facebook Phishing Scam	September 30, 2013	None	['None']
hoer-00514	'Ben Kingsley Admits he is a Dog Fighting Addict'	statirical reports	https://www.hoax-slayer.com/ben-kingsley-dog-fighting-addict-fake-news.shtml	None	None	None	Brett M. Christensen	None	FAKE-NEWS: 'Ben Kingsley Admits he is a Dog Fighting Addict'	November 6, 2014	None	['None']
