goop-00935	Sarah Jessica Parker, Matthew Broderick Marriage “On The Rocks”?	0	https://www.gossipcop.com/sarah-jessica-parker-matthew-broderick-marriage-rocks-trouble/	None	None	None	Shari Weiss	None	Sarah Jessica Parker, Matthew Broderick Marriage “On The Rocks”?	11:01 am, May 25, 2018	None	['None']
goop-02804	Selena Gomez “So Upset” Over “13 Reasons Why” Backlash, 	2	https://www.gossipcop.com/selena-gomez-upset-13-reasons-why-backlash-controversy/	None	None	None	Shari Weiss	None	Selena Gomez NOT “So Upset” Over “13 Reasons Why” Backlash, Despite Report	10:40 am, May 11, 2017	None	['None']
goop-01139	Gwen Stefani Pregnant With Blake Shelton’s Baby Because She Was Spotted At Hospital?	0	https://www.gossipcop.com/gwen-stefani-pregnant-hospital-blake-shelton-baby/	None	None	None	Shari Weiss	None	Gwen Stefani Pregnant With Blake Shelton’s Baby Because She Was Spotted At Hospital?	4:26 pm, April 21, 2018	None	['Blake_Shelton', 'Gwen_Stefani']
goop-00979	Angelina Jolie Attending Royal Wedding, 	0	https://www.gossipcop.com/angelina-jolie-royal-wedding-guest-not-true-prince-harry-meghan-markle/	None	None	None	Shari Weiss	None	Angelina Jolie NOT Attending Royal Wedding, Despite Speculation	8:32 pm, May 17, 2018	None	['None']
goop-00629	Roseanne Begging Jerry Seinfeld For ‘Career Comeback,’ 	0	https://www.gossipcop.com/roseanne-beg-jerry-seinfeld-career-comeback-not-true/	None	None	None	Gossip Cop Staff	None	Roseanne NOT Begging Jerry Seinfeld For ‘Career Comeback,’ Despite Report	2:12 pm, July 17, 2018	None	['None']
goop-02024	North West “In Denial” About Getting A Sister?	1	https://www.gossipcop.com/north-west-denial-sister/	None	None	None	Shari Weiss	None	North West “In Denial” About Getting A Sister?	9:33 pm, December 15, 2017	None	['None']
goop-02581	Ellen DeGeneres Warning Justin Bieber To Get Help, 	0	https://www.gossipcop.com/ellen-degeneres-justin-bieber-help-worried-intervention/	None	None	None	Andrew Shuster	None	Ellen DeGeneres NOT Warning Justin Bieber To Get Help, Despite Report	12:46 pm, August 14, 2017	None	['None']
goop-00736	Caitlyn Jenner Bought Porsche For Sophia Hutchins?	2	https://www.gossipcop.com/caitlyn-jenner-sophia-hutchins-bought-porsche-car/	None	None	None	Shari Weiss	None	Caitlyn Jenner Bought Porsche For Sophia Hutchins?	4:01 pm, June 27, 2018	None	['None']
goop-01880	Nicole Kidman Urging Keith Urban To Get Plastic Surgery?	2	https://www.gossipcop.com/nicole-kidman-keith-urban-plastic-surgery-botox/	None	None	None	Shari Weiss	None	Nicole Kidman Urging Keith Urban To Get Plastic Surgery?	10:38 am, January 9, 2018	None	['None']
goop-02151	Matt Lauer, Katie Couric Reteaming To Force Megyn Kelly Out Of The “Today” Show?	0	https://www.gossipcop.com/matt-lauer-reteaming-katie-couric-force-megyn-kelly-out-today-show/	None	None	None	Holly Nicol	None	Matt Lauer, Katie Couric Reteaming To Force Megyn Kelly Out Of The “Today” Show?	4:51 am, November 24, 2017	None	['Matt_Lauer']
