snes-04484	Pope Francis endorsed Donald Trump for president.	false	https://www.snopes.com/fact-check/pope-francis-donald-trump-endorsement/	None	Junk News	None	Dan Evon	None	Pope Francis Shocks World, Endorses Donald Trump for President	10 July 2016	None	['None']
snes-03162	A law firm working with Donald Trump was named "Russia Law Firm of the Year."	mixture	https://www.snopes.com/fact-check/russian-law-firm-of-the-year/	None	Politicians	None	Dan Evon	None	Did Donald Trump Engage the ‘Russian Law Firm of the Year’?	11 January 2017	None	['None']
snes-05436	McDonald's is getting rid of its "Dollar Menu" come 2016.	mostly false	https://www.snopes.com/fact-check/mcdonalds-getting-rid-dollar-menu/	None	Business	None	Kim LaCapria	None	McDonald’s Getting Rid of the Dollar Menu?	29 December 2015	None	['None']
snes-02597	A teacher's letter home upbraids student for correcting him in class.	unproven	https://www.snopes.com/fact-check/letter-go/	None	Humor	None	David Mikkelson	None	Adam Hilliker Detention Letter	29 November 2006	None	['None']
snes-02901	A 2016 bill before the Kentucky legislature would have required men to get their wives' permission before obtaining a prescription for Viagra or other erectile dysfunction drug.	true	https://www.snopes.com/fact-check/kentucky-bill-wives-permission-viagra/	None	Politics	None	David Emery	None	Kentucky Lawmaker Introduced Bill Requiring Men to Get Wives’ Permission to Take Viagra	20 February 2017	None	['Kentucky']
snes-03290	Centerville Elementary School in Lancaster, Pennsylvania, canceled a Christmas play because two parents complained about reference to God.	unproven	https://www.snopes.com/fact-check/lancasters-centerville-elementary-school-cancels-offensive-christmas-play/	None	Religion	None	Kim LaCapria	None	Lancaster’s Centerville Elementary School Cancels ‘Offensive’ Christmas Play	20 December 2016	None	['Pennsylvania', 'God', 'Lancaster,_Pennsylvania']
snes-03347	Everyone with cancer has a pH that is too acidic.	false	https://www.snopes.com/fact-check/everyone-who-has-cancer-has-a-ph-that-is-too-acidic/	None	Medical	None	Alex Kasprak	None	Does Everyone with Cancer Have a pH That Is Too Acidic?	14 December 2016	None	['None']
snes-06191	Ordinary use of canola oil is dangerous to consumers.	false	https://www.snopes.com/fact-check/oil-of-oleacute/	None	Medical	None	David Mikkelson	None	Canola Oil and Rape Seed	7 February 2001	None	['None']
snes-02144	Actor Johnny Depp will be charged with conspiracy to assassinate the president and held as a terrorist enemy combatant after joking about assassinating President Trump.	false	https://www.snopes.com/fact-check/johnny-depp-charged-patriot-act/	None	Junk News	None	David Emery	None	Johnny Depp to Be Charged and Held Under the Patriot Act?	26 June 2017	None	['Johnny_Depp']
snes-00012	Facebook users who donated to charities on a one-time basis were actually debited that amount every month for one year.	mostly false	https://www.snopes.com/fact-check/facebook-birthday-donations/	None	Technology	None	Dan MacGuill	None	Do Facebook Donations Recur Every Month Even When a User Chooses a One-Time Contribution?	5 October 2018	None	['None']
snes-05369	An image shows musicians David Bowie and Lemmy Kilmister together at a party.	false	https://www.snopes.com/fact-check/david-bowie-lemmy-photo/	None	Fauxtography	None	Dan Evon	None	FALSE: Photograph Shows Bowie and Lemmy	13 January 2016	None	['David_Bowie', 'Lemmy']
snes-04948	Mississippi has passed a bill granting churchgoers the right to shoot and kill citizens at will.	mostly false	https://www.snopes.com/fact-check/mississippi-bill-churches-lethal/	None	Ballot Box	None	Kim LaCapria	None	Mississippi Bill Grants Churches ‘Lethal Force’ Powers	6 April 2016	None	['None']
snes-01562	In October 2017, a "demonic" drag queen read a "sexually explicit" book to children at a Long Beach public library named after Michelle Obama.	mixture	https://www.snopes.com/fact-check/drag-queen-library/	None	Viral Phenomena	None	Dan MacGuill	None	Did a Drag Queen in a ‘Demonic’ Outfit Read a Sexually Explicit Book to Children at a Public Library?	18 October 2017	None	['Long_Beach,_California', 'Michelle_Obama']
