faly-00061	Fact Check: Will you be penalised for ‘giving lift’ to unknown persons?	none	https://factly.in/fact-check-will-you-be-penalised-for-giving-lift-to-unknown-persons/	None	None	None	None	None	Fact Check: Will you be penalised for ‘giving lift’ to unknown persons?	None	None	['None']
faly-00076	Fact Check: Did Manmohan Singh undertake more foreign visits than Narendra Modi?	none	https://factly.in/fact-check-manmohan-singh-undertake-foreign-visits-narendra-modi/	None	None	None	None	None	Fact Check: Did Manmohan Singh undertake more foreign visits than Narendra Modi?	None	None	['None']
faly-00005	Claim: 31.52 crore Jan Dhan accounts have been opened, equivalent to the population of USA.	true	https://factly.in/fact-checking-government-claims-on-jan-suraksha/	Fact: A total of 32.99 crore accounts have been opened under PMJDY till date. The latest population of the USA is 32.88 crores. Hence, the claim is TRUE.	None	None	None	None	Fact Checking Government claims on Jan Suraksha	None	None	['United_States']
faly-00042	Claim:  More than 1 crore income tax payers linked their Aadhaar with PAN.	unverified	https://factly.in/fact-checking-government-claims-over-use-of-technology/	Fact: Since it has been made mandatory, more than 16.84 crore PANs have been linked to Aadhaar but how many of them are paying tax cannot be verified. Hence, the claim is UNVERIFIED.	None	None	None	None	Fact Checking government claims over use of Technology	None	None	['None']
faly-00029	Claim: Access audit of 1662 important buildings in 50 cities has been completed till date.	true	https://factly.in/fact-check-has-accessibility-for-pwds-improved-in-the-last-four-years/	Fact: Access audits of 1662 buildings in 50 cities completed by auditors. Hence, the claim is TRUE.	None	None	None	None	Fact Check: Has Accessibility for PwDs improved in the last four years?	None	None	['None']
faly-00045	Claim: Online application made mandatory for all clearances	true	https://factly.in/fact-checking-the-governments-claims-on-auctions-clearances/	Fact: It is TRUE that all project proponents have to now make online applications for environmental & forest clearance.	None	None	None	None	Fact Checking the Government’s claims on Auctions & Clearances	None	None	['None']
faly-00038	Claim: Provided for penalties for offences committed against persons with disabilities (PwDs)	true	https://factly.in/rights-of-persons-with-disabilities-act/	Fact: Chapter 16 of the Rights of persons with disabilities Act, 2016 provides for the penalties. Hence, the claim is TRUE.  However,It has to be noted that penalties were also part of the original bill introduced by the UPA government in 2014.	None	None	None	None	Fact Checking Government Claims on the ‘Rights of Persons with Disabilities Act’	None	None	['None']
faly-00037	Claim: Right to free education for children with disabilities (6-18yrs) and reservation of 4% seats for students in higher education institutions.	partly true	https://factly.in/rights-of-persons-with-disabilities-act/	Fact: Right to free education is provided for children in the 6-18 age group & reservation of not less than 5% is provided in higher educational institutions for those with benchmark disabilities, but not to everyone with a disability. Hence, the claim is PARTLY TRUE. Again, it has to be noted that both these provisions were also part of the original bill introduced by the UPA in 2014.	None	None	None	None	Fact Checking Government Claims on the ‘Rights of Persons with Disabilities Act’	None	None	['None']
faly-00026	Claim: Converting at least 50% of all the government buildings in the national capital and all state capitals fully accessible.	unverified	https://factly.in/fact-check-has-accessibility-for-pwds-improved-in-the-last-four-years/	Fact: 58 out of the 75 selected central government buildings in 39 cities have been retrofitted as of March 2018. Since the claim is talking about a future target and not an achievement, it remains UNVERIFIED	None	None	None	None	Fact Check: Has Accessibility for PwDs improved in the last four years?	None	None	['None']
faly-00024	Claim: Over 6 lakh Divyang people have benefitted from 5790 camps.	true	https://factly.in/fact-check-what-did-the-government-do-for-the-development-of-persons-with-disabilities/	Fact: In the last 4 years, 6073 camps were organized which have benefitted 9.35 lakh people.  Hence, the claim is TRUE.  However, it has to be noted that the average number of beneficiaries under the ADIP scheme has not increased despite a substantial increase in the number of camps. Even under the UPA, the annual average number of beneficiaries was around 2.5 lakh.	None	None	None	None	Fact Check: What did the government do for the development of Persons with Disabilities?	None	None	['None']
faly-00008	Claim: FDI equity flow has gone up by 47%.	false	https://factly.in/fact-check-has-india-been-attracted-more-fdi-in-the-last-few-years/	Fact: The claim is very vague and the available data does not corroborate this number. Hence the claim is FALSE.	None	None	None	None	Fact Check: Has India attracted more FDI in the last few years?	None	None	['None']
